"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"1" 0 0.0344993 0.0188958 129621 105440 3.37967 -11.46494 -99249.49 -99260.95
"2" 490001 0.0212669 0.0291078 133941 105890 1.02325 -16.173 -1368.59 -1384.763
"3" 490002 0.0211349 0.0291078 133941 105890 1.02325 -16.17537 -1367.678 -1383.853
"4" 490003 0.0211349 0.0291078 133436 105890 1.02325 -14.57286 -1368.855 -1383.428
"5" 490004 0.0211349 0.0290961 133436 106249 1.02279 -14.22566 -1369.198 -1383.424
"6" 490005 0.0211349 0.0290961 133344 106249 1.02279 -13.96082 -1369.468 -1383.429
"7" 490006 0.021029 0.0290961 133344 106249 1.02279 -13.96286 -1368.776 -1382.739
"8" 490007 0.021029 0.0290961 133344 106249 1.02279 -13.96286 -1368.776 -1382.739
"9" 490008 0.021029 0.0291456 133344 106249 1.02231 -13.96935 -1369.692 -1383.661
"10" 490009 0.021029 0.0293746 133344 106177 1.02231 -14.05831 -1368.271 -1382.329
"11" 490010 0.021029 0.0293746 132873 106029 1.02231 -12.97518 -1368.899 -1381.874
"12" 490011 0.0211593 0.0293746 132873 106167 1.02231 -12.84323 -1370.573 -1383.417
"13" 490012 0.021291 0.0292115 132873 106167 1.02231 -12.81921 -1370.892 -1383.711
"14" 490013 0.0210862 0.0292115 132873 106167 1.02231 -12.82292 -1369.527 -1382.35
"15" 490014 0.0210862 0.0292115 132873 106167 1.02231 -12.82292 -1369.527 -1382.35
"16" 490015 0.0210862 0.029259 132873 106167 1.02231 -12.8292 -1369.571 -1382.4
"17" 490016 0.0210862 0.0291338 132873 106167 1.02231 -12.81268 -1369.683 -1382.496
"18" 490017 0.0210862 0.0291338 132339 106167 1.02231 -11.69555 -1371.61 -1383.305
"19" 490018 0.0210862 0.0291338 132339 106167 1.02231 -11.69555 -1371.61 -1383.305
"20" 490019 0.0210862 0.0290683 132339 106167 1.02231 -11.68696 -1371.202 -1382.889
"21" 490020 0.0210862 0.0290683 132339 105859 1.02231 -12.00112 -1370.027 -1382.028
