"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"66" 490065 0.0210242 0.0293235 132409 103309 1.02461 -18.40979 -1364.181 -1382.59
"67" 490066 0.0210242 0.0293892 132680 103309 1.02451 -18.96942 -1362.918 -1381.887
"68" 490067 0.0210242 0.0294949 132680 103309 1.02451 -18.98363 -1363.399 -1382.382
"69" 490068 0.0210242 0.0294003 132820 103309 1.02451 -19.2844 -1362.635 -1381.919
"70" 490069 0.0210242 0.0294003 133034 103309 1.02451 -19.7992 -1362.593 -1382.393
"71" 490070 0.0210242 0.0294003 133034 103309 1.0251 -19.7992 -1364.386 -1384.185
"72" 490071 0.0210242 0.028993 133034 103797 1.0248 -18.04708 -1363.734 -1381.781
"73" 490072 0.0210755 0.0288492 132932 103761 1.0248 -17.89285 -1364.676 -1382.569
"74" 490073 0.0211259 0.0288492 133240 103761 1.02515 -18.68303 -1364.281 -1382.964
"75" 490074 0.0211259 0.0288492 133085 103471 1.02507 -19.26167 -1364.517 -1383.778
"76" 490075 0.021204 0.0289304 133160 103729 1.02507 -18.58089 -1364.708 -1383.288
"77" 490076 0.021204 0.0289304 133673 103729 1.02549 -20.0703 -1363.97 -1384.04
"78" 490077 0.0210669 0.0288822 133673 103729 1.02549 -20.06664 -1363.042 -1383.109
"79" 490078 0.0210669 0.0287251 133676 103729 1.02549 -20.05493 -1363.645 -1383.7
"80" 490079 0.0212883 0.0288636 133991 103729 1.02594 -21.11413 -1364.847 -1385.961
"81" 490080 0.0212883 0.0288636 133991 103729 1.02594 -21.11413 -1364.847 -1385.961
"82" 490081 0.0212883 0.0288636 134210 103729 1.02585 -21.89783 -1363.578 -1385.476
"83" 490082 0.0212333 0.0288636 134210 103729 1.02607 -21.89878 -1363.989 -1385.888
"84" 490083 0.0212333 0.0287987 134210 103729 1.0259 -21.89045 -1363.377 -1385.268
"85" 490084 0.0212333 0.0287987 134174 103729 1.0259 -21.76077 -1363.442 -1385.203
"86" 490085 0.0212333 0.0287987 134174 103729 1.02581 -21.76077 -1363.491 -1385.252
