"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"1" 0 0.0449401 0.0361996 131986 107860 9.08226 -18.27879 -99090.03 -99108.31
"2" 490001 0.0210468 0.0291782 132926 105596 1.02255 -13.6029 -1369.067 -1382.67
"3" 490002 0.0211345 0.0292965 132926 105596 1.02287 -13.6169 -1368.676 -1382.293
"4" 490003 0.0211345 0.0292965 132926 105596 1.02232 -13.6169 -1370.243 -1383.86
"5" 490004 0.0211345 0.0292965 132128 105596 1.02207 -12.01094 -1369.892 -1381.903
"6" 490005 0.0211635 0.0290619 132128 105596 1.02207 -11.97949 -1372.234 -1384.214
"7" 490006 0.0211635 0.0290814 132128 105596 1.02236 -11.98203 -1370.337 -1382.319
"8" 490007 0.0211635 0.0289921 131822 106017 1.02236 -11.00873 -1373.661 -1384.67
"9" 490008 0.0211635 0.0289921 132815 106048 1.02279 -12.76827 -1370.484 -1383.252
"10" 490009 0.0211873 0.0289921 132815 106048 1.02279 -12.76783 -1370.639 -1383.407
"11" 490010 0.0210008 0.0289098 132307 106048 1.02257 -11.72042 -1370.658 -1382.379
"12" 490011 0.0212299 0.0289098 132307 106048 1.02228 -11.7161 -1371.972 -1383.688
"13" 490012 0.0212299 0.0290818 132307 105625 1.02285 -12.24388 -1371.538 -1383.782
"14" 490013 0.0212299 0.0290818 132307 105625 1.02284 -12.24388 -1371.473 -1383.717
"15" 490014 0.0212076 0.0287098 132307 105945 1.02284 -11.79775 -1372.116 -1383.914
"16" 490015 0.0212076 0.0287662 132307 105945 1.02284 -11.80493 -1372.14 -1383.945
"17" 490016 0.0210186 0.0289958 132307 105945 1.02284 -11.83807 -1372.64 -1384.478
"18" 490017 0.0210186 0.0284588 132257 105945 1.02284 -11.68204 -1372.379 -1384.061
"19" 490018 0.0211244 0.0284588 132257 105945 1.02284 -11.68 -1373.138 -1384.818
"20" 490019 0.0211244 0.028795 132176 105945 1.02285 -11.584 -1372.516 -1384.1
"21" 490020 0.0211397 0.028795 132176 105945 1.02285 -11.58372 -1372.613 -1384.196
"22" 490021 0.0212004 0.0287224 132795 105945 1.02285 -12.7927 -1371.643 -1384.436
"23" 490022 0.0212004 0.0287224 132086 105945 1.0225 -11.4278 -1372.433 -1383.861
"24" 490023 0.0212004 0.028816 132086 105945 1.0225 -11.43976 -1372.047 -1383.487
"25" 490024 0.0212004 0.02888 132086 105945 1.0225 -11.44798 -1372.02 -1383.468
"26" 490025 0.0212624 0.02888 132388 105945 1.0228 -11.96646 -1372.251 -1384.218
"27" 490026 0.0212624 0.02888 132195 105945 1.02277 -11.62412 -1373.222 -1384.846
"28" 490027 0.0213334 0.0286485 132433 105945 1.02277 -12.02172 -1373.209 -1385.231
"29" 490028 0.0210285 0.0286485 132697 105722 1.02277 -12.83457 -1373.083 -1385.917
"30" 490029 0.0212223 0.0291426 133190 106625 1.02277 -13.3166 -1374.936 -1388.252
"31" 490030 0.0212515 0.0290709 133046 105756 1.02277 -13.66431 -1369.994 -1383.658
"32" 490031 0.02117 0.0290709 133046 106122 1.02277 -13.26609 -1370.103 -1383.37
"33" 490032 0.02117 0.0289307 133086 106167 1.02277 -13.30837 -1370.21 -1383.519
"34" 490033 0.02117 0.0289307 133086 106624 1.02277 -13.01751 -1372.882 -1385.9
"35" 490034 0.021253 0.0287912 133452 106624 1.02277 -14.00461 -1371.616 -1385.621
"36" 490035 0.021253 0.0289586 133452 106624 1.02277 -14.02616 -1371.356 -1385.382
"37" 490036 0.0212171 0.0289586 133452 106624 1.02251 -14.0268 -1370.997 -1385.023
"38" 490037 0.0212278 0.0292146 133452 106624 1.02251 -14.06011 -1371.082 -1385.142
"39" 490038 0.0212654 0.0293385 134560 107191 1.02251 -17.87412 -1370.143 -1388.017
"40" 490039 0.0210609 0.0292459 134560 106989 1.02305 -17.85381 -1370.053 -1387.906
"41" 490040 0.0210707 0.0291429 134891 106909 1.02343 -19.24124 -1368.978 -1388.219
"42" 490041 0.0210707 0.0291429 134891 106909 1.02343 -19.24124 -1368.978 -1388.219
"43" 490042 0.0210707 0.0290948 134891 106759 1.02346 -19.26457 -1367.722 -1386.986
"44" 490043 0.0210707 0.0291239 134891 106759 1.02339 -19.26838 -1367.55 -1386.819
"45" 490044 0.0210417 0.0291239 134891 107286 1.02288 -19.26406 -1368.393 -1387.657
"46" 490045 0.0210417 0.0289205 134891 107513 1.02288 -19.32087 -1369.219 -1388.54
"47" 490046 0.0210417 0.0289205 134891 107513 1.02288 -19.32087 -1369.219 -1388.54
"48" 490047 0.0210417 0.0289734 134891 107513 1.02245 -19.32772 -1370.542 -1389.869
"49" 490048 0.0210446 0.0289734 134749 107513 1.02307 -18.71403 -1371.109 -1389.823
"50" 490049 0.0212392 0.0289616 134898 107477 1.02307 -19.33519 -1370.938 -1390.273
"51" 490050 0.0212392 0.0289616 134977 107504 1.02307 -19.69593 -1370.715 -1390.411
"52" 490051 0.0212607 0.0289616 134977 107259 1.02307 -19.60994 -1369.869 -1389.479
"53" 490052 0.021147 0.0287565 134252 107259 1.02307 -16.61582 -1371.473 -1388.088
"54" 490053 0.0210503 0.0287892 134252 107002 1.02307 -16.59641 -1369.626 -1386.223
"55" 490054 0.0210503 0.0287892 134252 107002 1.0228 -16.59641 -1370.346 -1386.943
"56" 490055 0.0210901 0.0288355 134252 107002 1.0228 -16.60158 -1370.167 -1386.769
"57" 490056 0.0210901 0.0291316 134252 106864 1.0228 -16.65374 -1368.863 -1385.517
"58" 490057 0.0212316 0.0292546 134252 106025 1.02305 -17.1598 -1368.416 -1385.576
"59" 490058 0.0210936 0.0294745 134252 106025 1.02291 -17.19173 -1366.823 -1384.015
"60" 490059 0.0210936 0.0294628 134252 106025 1.02328 -17.19016 -1367.6 -1384.79
"61" 490060 0.0210936 0.0291445 134252 106025 1.02328 -17.14782 -1367.155 -1384.303
"62" 490061 0.0211758 0.0291479 133505 106025 1.02282 -14.63563 -1368.871 -1383.506
