"1_0" "2.15_0" "4.64_0" "10_0" "21.54_0" "46.42_0" "0_1" "1_1" "2.15_1" "4.64_1" "10_1" "21.54_1" "46.42_1" "0_2.15" "1_2.15" "2.15_2.15" "4.64_2.15" "10_2.15" "21.54_2.15" "46.42_2.15" "0_4.64" "1_4.64" "2.15_4.64" "4.64_4.64" "10_4.64" "21.54_4.64" "46.42_4.64" "0_10" "1_10" "2.15_10" "4.64_10" "10_10" "21.54_10" "46.42_10" "0_21.54" "1_21.54" "2.15_21.54" "4.64_21.54" "10_21.54" "21.54_21.54" "46.42_21.54" "0_46.42" "1_46.42" "2.15_46.42" "4.64_46.42" "10_46.42" "21.54_46.42" "46.42_46.42"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00666123443984223
"2" 0 0 0 0 0.146084598716359 0.377923762610079 0 0 0 0 0 0 0 0 0 0 0 0 0.0191698392361039 0.0087635276887339 0 0 0 0 0 0 0.115352954222039 0 0 0 0 0 0.109871588820459 0.195660503981294 0 0 0 0 0 0.0679942411050538 0.319903357619479 0 0 0 0.0223832204281489 0 0.0900443727136839 0.388314849229654
"3" 0 0 0 0.112961686589171 0.340687947791186 0.737719829148734 0 0 0 0 0 0.0621564236965158 0.428447149573561 0 0 0 0 0 0.230207427586231 0.463942868465646 0 0 0 0 0 0.148537828737716 0.556919330066036 0 0 0 0 0.106105003292761 0.388754019636016 0.720430867131911 0 0 0 0.0115043624886508 0.190827672980711 0.393224954462851 0.843826047891366 0 0 0 0.094763432799216 0.106407469004736 0.358945762682806 0.867458867760486
"4" 0 0 0 0.165662196950114 0.434242392546194 0.768373705667839 0 0 0 0 0 0.163814784411394 0.599598463722044 0 0 0 0 0 0.300736263076164 0.592320021546874 0 0 0 0 0 0.244633370644419 0.686232515271809 0 0 0 0 0.111422930502774 0.477224051821304 0.832031135898314 0 0 0 0.0291790967581491 0.179637943856269 0.460234619067149 0.908435105281389 0 0 0 0.102995143564994 0.136307423133424 0.397748560591409 0.940799450466484
"5" 0 0 0.0147711450761701 0.13228517436816 0.35906146817592 0.798550628288887 0 0 0 0 0 0.0959671604786951 0.538341251563685 0 0 0 0 0 0.339073838793415 0.579622770401235 0 0 0 0 0 0.202198810037205 0.666947441788865 0 0 0 0 0.13168808039921 0.462231669752695 0.831030746703725 0 0 0 0.0343684103267949 0.164830273390265 0.434649791858685 0.86601794450888 0 0 0 0.1103312754904 0.0893827144384249 0.374154188045795 0.963263085092935
"6" 0 0 0.015369140944733 0.199338149155148 0.426206301282653 0.821275446029928 0 0 0 0 0 0.122123318883318 0.583018188917723 0 0 0 0 0 0.347789755861558 0.576834202412568 0 0 0 0 0 0.212669428618038 0.675752679987253 0 0 0 0 0.129326151570233 0.495434049959018 0.859154422108528 0 0 0 0.0454297594823081 0.180951549696958 0.448528936000333 0.859255812465358 0 0 0 0.108531493973898 0.102278603598683 0.411201098218643 0.945775423277838
"7" 0 0 0.002601745388914 0.172072184379794 0.437830976236029 0.798342823859519 0 0 0 0 0 0.0931090426672638 0.620617653171789 0 0 0 0 0 0.313812370280379 0.599516541047929 0 0 0 0 0 0.200318890223859 0.689019056051599 0 0 0 0.0106387781644788 0.105055600825939 0.485982682476314 0.914078469193284 0 0 0 0.0592450967144589 0.159927456993064 0.417772128519889 0.907152609424614 0 0 0 0.0770921516070437 0.115468924878899 0.397302882366844 0.975695621338299
"8" 0 0 0.00844230269422286 0.147738285889648 0.388555094632253 0.744943574683963 0 0 0 0 0 0.079184892646573 0.609684660784598 0 0 0 0.0134145555394529 0 0.283799356086768 0.546117500848983 0 0 0 0 0 0.208568502644423 0.664153893452343 0 0 0 0.00693664425938789 0.107705304420208 0.415221712903403 0.876123647135023 0 0 0 0.0459158369180381 0.138862122599968 0.419035735964918 0.862197199026148 0 0 0 0.112078198982663 0.114784158838313 0.391722637757683 0.852821419486513
"9" 0 0 0.0260983250661968 0.0559373031776569 0.206438751300972 0.423021514687567 0 0 0 0 0 0.0665165915467518 0.651021637917362 0 0 0 0 0 0.273743139421702 0.418933147713672 0 0 0 0 0 0.101697706827417 0.518667064868382 0 0 0 0 0 0.239655153929102 0.560059402526167 0 0 0 0 0.023147941620522 0.260637751012197 0.547835608615792 0 0 0 0 0 0.211368670554192 0.614592266745642
"10" 0 0 0 0.0806945808058568 0.168874190816232 0.327154343748542 0 0 0 0 0 0 0.183030173509012 0 0 0 0 0 0.0616878585865759 0.153155225633477 0 0 0 0 0 0 0.237217922621007 0 0 0 0 0.0225260867680017 0.322814296287162 0.350521244193397 0 0 0 0.0868526579216069 0.132383924730202 0.257382020938942 0.429099361780567 0.0567657989279118 0.141390404227532 0.103945529069532 0.360021665480412 0.265433757327172 0.440867631565002 0.695318031422742
"11" 0 0 0.0218897599966108 0.0297377263142007 0.146661389576746 0.289260047034356 0 0 0 0 0 0 0.0411223031822656 0 0 0 0 0 0.0657691375105431 0.0899563705812008 0 0 0 0 0 0 0.199585959696546 0 0 0 0.0287594410772356 0.122133124719256 0.391495438711291 0.391794208029516 0 0.163634291015011 0.222342624926806 0.281613963365516 0.274112068406711 0.400732473744366 0.519973242558836 0.453631418259301 0.501646281979821 0.499629701222346 0.800905943444576 0.657677661875086 0.759251230199726 0.920244740513665
