"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.23" 22 "Simu1" 0.1 0 0 0 0 0 0.346679452620962 0.301761205130414 0.606479 0.5535929 0.661371625 0.624994 0.572166475 0.6797151 0.599003 0.54602015 0.654101025 "Andr" 22 "Srxn1"
"Srxn1_1.24" 23 "Simu1" 0.1 0 0 0 0 0 0.319850958105775 0.29254056511844 0.6261195 0.5714415 0.6826306 0.6441335 0.589571375 0.700515 0.61888 0.56411975 0.675593625 "Andr" 23 "Srxn1"
"Srxn1_1.25" 24 "Simu1" 0.1 0 0 0 0 0 0.176625106271309 0.182714931353813 0.6452865 0.58881875 0.7033633 0.662807 0.6065694 0.7207206 0.638203 0.581744525 0.696514725 "Andr" 24 "Srxn1"
"Srxn1_1.26" 25 "Simu1" 0.1 0 0 0 0 0 0.291758389542961 0.285501138170244 0.663889 0.605998525 0.7235048 0.680971 0.6232884 0.740577375 0.6570345 0.5990069 0.716875875 "Andr" 25 "Srxn1"
"Srxn1_1.27" 26 "Simu1" 0.1 0 0 0 0 0 0.124920551938063 0.118874850172857 0.6819995 0.622660775 0.743140425 0.698666 0.639565725 0.75969335 0.6753115 0.615749925 0.736696 "Andr" 26 "Srxn1"
"Srxn1_1.28" 27 "Simu1" 0.1 0 0 0 0 0 0.120911294416912 0.122534148210525 0.699697 0.638866275 0.7622156 0.7158475 0.6552814 0.778378925 0.693182 0.632101 0.75600015 "Andr" 27 "Srxn1"
"Srxn1_1.29" 28 "Simu1" 0.1 0 0 0 0 0 0.123636070374104 0.111967473709393 0.716927 0.65451585 0.7808606 0.7326805 0.670675625 0.7966157 0.710557 0.64799225 0.77477385 "Andr" 28 "Srxn1"
"Srxn1_1.30" 29 "Simu1" 0.1 0 0 0 0 0 0.125852302619941 0.117106084196165 0.7336675 0.6699526 0.799036225 0.7490945 0.685656875 0.8143671 0.727457 0.663744825 0.7931792 "Andr" 29 "Srxn1"
"Srxn1_1.31" 30 "Simu1" 0.1 0 0 0 0 0 0.109744689675567 0.108308833106261 0.750062 0.6850935 0.816732125 0.765112 0.700240775 0.83164925 0.7439835 0.67891055 0.8108493 "Andr" 30 "Srxn1"
"Srxn1_1.32" 31 "Simu1" 0.1 0 0 0 0 0 0.141391292916525 0.127219075586 0.76596 0.6996484 0.834085225 0.780571 0.714595 0.84843185 0.760052 0.6938625 0.8283678 "Andr" 31 "Srxn1"
"Srxn1_1.33" 32 "Simu1" 0.1 0 0 0 0 0 0.134737171674654 0.122964557027529 0.7814365 0.713918875 0.850849375 0.7956765 0.728504625 0.864869225 0.77574 0.708134725 0.84531625 "Andr" 32 "Srxn1"
"Srxn1_2.1" 0 "Simu2" 0.32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Andr" 0 "Srxn1"
"Srxn1_2.2" 1 "Simu2" 0.32 0 0.089381808399439 0.178763616798878 0 0.12640496566792 0.00822402304840805 0.0142444257624602 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 0.03540175 0.032048215 0.0388876375 "Andr" 1 "Srxn1"
