"iter"	"r.1.3."	"decay.1.3."	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"LnPrior"	"LnData"	"LnPosterior"
4997121	1.12789	0.123322	0.0238361	0.0160534	0.0146434	1.0034	130510	106989	9.93688	-13.0545	-12891.39	-12904.44
4999536	1.08818	0.124897	0.0241473	0.0163497	0.0139513	1.0035	130468	107011	9.86139	-14.40961	-12890.13	-12904.54
4999666	1.09175	0.125833	0.0227075	0.0157153	0.0139727	1.00368	130321	107116	9.99006	-15.40143	-12888.17	-12903.58
4998592	1.13566	0.123584	0.0242659	0.0161678	0.0145623	1.00324	130363	107046	9.94505	-16.98122	-12892.57	-12909.56
4999368	1.07236	0.124841	0.0235993	0.0161619	0.0141402	1.00357	130365	106946	9.92889	-14.94529	-12891.11	-12906.06
4995718	1.06434	0.126892	0.0235199	0.0159864	0.0135331	1.00403	130452	107123	9.63546	-14.95047	-12891.04	-12905.99
4997585	1.05653	0.12697	0.0221643	0.0160303	0.0136177	1.00373	130341	107133	9.97495	-17.05955	-12891.79	-12908.85
4997594	1.05968	0.126471	0.0236406	0.0160891	0.013448	1.00395	130469	107130	9.97265	-15.34741	-12887.74	-12903.09
4998297	1.08908	0.124556	0.0235388	0.016073	0.0138473	1.00349	130404	107166	9.81687	-14.27716	-12889.22	-12903.5
4996239	1.09784	0.126152	0.0228701	0.0161452	0.0139814	1.00321	130421	107194	9.94187	-15.56253	-12893.04	-12908.61
4995451	1.10128	0.124925	0.0226353	0.0158	0.0137786	1.00381	130478	106971	9.8828	-14.76984	-12891.67	-12906.44
4995846	1.09942	0.126457	0.0255287	0.016442	0.0136716	1.00325	130428	107251	9.80613	-15.7134	-12891.77	-12907.48
4998066	1.08016	0.125756	0.0229612	0.0160784	0.0135277	1.00362	130500	107234	9.98084	-15.85445	-12887.43	-12903.28
4999040	1.0956	0.125443	0.0243246	0.0162525	0.0140216	1.00342	130645	107028	9.99633	-15.81091	-12888.91	-12904.72
4996719	1.09993	0.124486	0.0227173	0.0159647	0.0142918	1.00339	130461	107129	9.90181	-15.16054	-12890.46	-12905.62
4999284	1.0757	0.124631	0.0237433	0.0161406	0.0140432	1.00376	130613	107013	9.88653	-15.40592	-12890.06	-12905.47
4998046	1.09562	0.12682	0.0232894	0.016187	0.0134254	1.00365	130356	107179	9.98576	-16.53846	-12886.75	-12903.29
4995719	1.09167	0.12361	0.0251047	0.0159661	0.0147641	1.0033	130334	107112	9.97982	-16.02471	-12887.32	-12903.35
4997082	1.07724	0.125913	0.0262095	0.0162047	0.0137368	1.00384	130410	107100	9.95262	-16.0797	-12893.21	-12909.29
4997887	1.09931	0.124723	0.0230186	0.0165199	0.0140872	1.00285	130437	107207	9.93882	-13.69588	-12888.69	-12902.38
4997605	1.10945	0.125071	0.0241047	0.0160737	0.0145665	1.00335	130487	107062	9.96846	-14.71374	-12889.45	-12904.16
4998687	1.08578	0.125556	0.026746	0.016525	0.0140464	1.00317	130431	107043	9.90579	-13.64857	-12895.02	-12908.67
4997203	1.09644	0.12577	0.0215709	0.0158767	0.0138349	1.00369	130666	107275	9.89851	-16.9532	-12890.8	-12907.75
