"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Sul"	"decay_Sul"	"LnPrior"	"LnData"	"LnPosterior"
4995122	0.0227627	0.0164088	0.0139542	1.00334	130550	107128	9.95666	8.65915	0.147544	-12.49833	-12890.01	-12902.51
4995123	0.0226048	0.0164088	0.0139542	1.00334	130550	107054	9.99743	8.39338	0.147544	-12.45175	-12890.6	-12903.05
4995124	0.0226048	0.0162616	0.0139542	1.00334	130550	107130	9.98868	8.39338	0.149411	-12.90462	-12891.2	-12904.11
4995125	0.0226048	0.0162616	0.0139542	1.00334	130550	107157	9.98868	8.39338	0.149411	-14.1613	-12892.62	-12906.78
4995126	0.0226048	0.0162616	0.0137469	1.00322	130340	107128	9.98868	8.39338	0.14927	-13.67941	-12889.8	-12903.48
4995127	0.0226048	0.0162501	0.0137614	1.00322	130445	107278	9.98868	10.1999	0.14927	-16.50064	-12888.2	-12904.7
4995128	0.0226048	0.0162501	0.0137614	1.00322	130445	107375	9.98868	8.67902	0.14927	-18.06064	-12887.06	-12905.12
4995129	0.0226048	0.0161891	0.0137614	1.00322	130445	107375	9.98868	8.67902	0.149433	-18.06196	-12884.93	-12903
4995130	0.0226048	0.0161891	0.0137614	1.00322	130445	107375	9.98868	9.18403	0.149433	-18.85685	-12885.96	-12904.81
4995131	0.0226048	0.0161779	0.0137614	1.00322	130445	107375	9.98868	9.18403	0.149433	-18.41175	-12886.73	-12905.14
4995132	0.0226048	0.0161822	0.0137614	1.00322	130445	107375	9.9343	10.1591	0.149433	-19.22277	-12888.24	-12907.47
4995133	0.0226048	0.0162558	0.0137614	1.00322	130445	107375	9.9343	10.1591	0.149433	-19.39086	-12888.37	-12907.76
4995134	0.0232466	0.0162558	0.0137614	1.00315	130445	107375	9.9343	7.49532	0.149433	-16.66316	-12887.89	-12904.55
4995135	0.0232466	0.0162124	0.0137614	1.00327	130445	107350	9.9343	7.49532	0.149433	-16.43858	-12888.06	-12904.5
