"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.35 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Sul" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.35 0.35 0.0555198158886082 0.158240542330775 0 0.0890559474549467 0.00526707652451996 0.00912284414782187 0.0231879 0.0211505925 0.0254426 0.0231879 0.0211505925 0.0254426 0.0231879 0.0211505925 0.0254426 "Sul" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.35 0.35 0.315693838140049 0.398274238940256 0.213464009268478 0.0939589286096995 0.00706727611813635 0.00679887740568976 0.05982935 0.0553680125 0.0653227475 0.08464575 0.0793590575 0.0958939025 0.04601025 0.0419753725 0.0504742125 "Sul" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.35 0.35 0.325808136304405 0.472480424606548 0.167524403618586 0.152809237007155 0.00497798703628431 0.0054120902551171 0.1948375 0.18867385 0.2019712 0.2487715 0.241771875 0.260598025 0.14436 0.138538975 0.1508644 "Sul" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.35 0.35 0.295271315025202 0.444092839791109 0.14033226201556 0.151972662892027 0.0310710719529083 0.0380330018018242 0.3671275 0.35935825 0.376111825 0.4888795 0.480024925 0.501179 0.2435085 0.235906825 0.25204835 "Sul" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.35 0.35 0.253484881260063 0.318131514517823 0.134941724159937 0.102802000391819 0.200495884551925 0.102533305956867 0.550214 0.54064385 0.5612691 0.754231 0.7434965 0.767535025 0.341267 0.3318738 0.351818125 "Sul" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.35 0.35 0.21052194221182 0.273302519586571 0.115817742299162 0.0834547903135185 0.633485959143186 0.165077097243492 0.7274315 0.716047925 0.74038105 0.970214 0.957669 0.9848993 0.445697 0.434522825 0.4582814 "Sul" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.35 0.35 0.168737256911325 0.22082567469332 0.0651332343245674 0.0897241726113693 1.05516220140646 0.244695603609832 0.8895865 0.8765074 0.904380225 1.172905 1.15864925 1.18936075 0.5443705 0.53144395 0.5589953 "Sul" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.35 0.35 0.166196749197506 0.238431873036492 0.0390569782475574 0.110446717351894 1.30052257352576 0.275208857480805 1.02935 1.01465 1.04618025 1.34859 1.33263 1.36671125 0.608054 0.5936077 0.624410725 "Sul" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.35 0.35 0.211211414344395 0.249532553435877 0.144259568891311 0.058184089997209 1.75088420033869 0.405999172406372 1.17332 1.1568795 1.1920305 1.54708 1.52954875 1.56707125 0.6243745 0.60852785 0.642303775 "Sul" 9 "Srxn1"
"Srxn1_1.11" 10 "Simu1" 0.35 0.35 0.139133077076595 0.190621441569173 0.0620621520599426 0.0679906117196008 1.50991788890222 0.319962939958955 1.3618 1.34376975 1.38246 1.763795 1.7445395 1.7855025 0.7630545 0.745547975 0.782830725 "Sul" 10 "Srxn1"
"Srxn1_1.12" 11 "Simu1" 0.35 0.35 0.160235113344923 0.244702782073167 0.0603980641642612 0.093108649718964 1.54658999470039 0.296188156972018 1.48957 1.4699895 1.5119325 1.932755 1.9120595 1.956131 0.7922695 0.77371565 0.813577 "Sul" 11 "Srxn1"
"Srxn1_1.13" 12 "Simu1" 0.35 0.35 0.14331752860093 0.229371110081841 0.0406577750350653 0.0954463431442267 1.57294118704028 0.275163378477622 1.639895 1.61863975 1.66415025 2.15669 2.13428925 2.18186025 0.807289 0.787118475 0.830235725 "Sul" 12 "Srxn1"
"Srxn1_1.14" 13 "Simu1" 0.35 0.35 0.132991020393312 0.208807129510331 0.0636093019301652 0.0728124530613743 1.58589080660164 0.223980353529422 1.77437 1.75178975 1.8001315 2.36846 2.3444595 2.39536 0.817489 0.7961105 0.8420306 "Sul" 13 "Srxn1"
"Srxn1_1.15" 14 "Simu1" 0.35 0.35 0.130834404148981 0.201458252535194 0.0630441039595845 0.0692505659039369 1.54559465188555 0.192593982637498 1.889665 1.86650975 1.9162815 2.562325 2.53676975 2.59083125 0.8281385 0.80547685 0.85421435 "Sul" 14 "Srxn1"
"Srxn1_1.16" 15 "Simu1" 0.35 0.35 0.122851431460479 0.194475302058254 0.0534625665404382 0.0705329308361634 1.55312361822076 0.160950639231088 1.972595 1.94586925 2.00139025 2.74803 2.7213595 2.77809 0.838233 0.8143156 0.86594425 "Sul" 15 "Srxn1"
"Srxn1_1.17" 16 "Simu1" 0.35 0.35 0.112714110435306 0.184021650977949 0.0390282372921127 0.072525959852574 1.58578302774932 0.140958614235313 1.99228 1.96104875 2.02619125 2.92009 2.89288825 2.95059075 0.848111 0.82275325 0.8773731 "Sul" 16 "Srxn1"
"Srxn1_1.18" 17 "Simu1" 0.35 0.35 0.109512156044405 0.182540073832845 0.026792293910609 0.0783249198950846 1.60458486793884 0.142510752264869 1.986915 1.954708 2.0221205 3.04325 3.01329975 3.075343 0.857789 0.830844825 0.888557775 "Sul" 17 "Srxn1"
"Srxn1_1.19" 18 "Simu1" 0.35 0.35 0.112237443830729 0.175461972090864 0.0502718031253706 0.0626045781058293 1.41578739139916 0.377431624413285 1.978905 1.94628975 2.0149205 3.1008 3.06122475 3.14087 0.8673685 0.8389564 0.899585475 "Sul" 18 "Srxn1"
"Srxn1_1.20" 19 "Simu1" 0.35 0.35 0.106021859275669 0.202248380534323 0.0382089375181197 0.0856313855646598 1.57237484020949 0.0613322974265078 1.970535 1.9379495 2.007291 3.093905 3.050629 3.1382415 0.8767295 0.84704655 0.910332625 "Sul" 19 "Srxn1"
"Srxn1_1.21" 20 "Simu1" 0.35 0.35 0.102139703192183 0.173699510154112 0.0586728755735639 0.0624475242265013 1.56872516697412 0.0485518358593564 1.96227 1.92943 1.99917275 3.0892 3.04157675 3.13907925 0.8859435 0.855052575 0.921002225 "Sul" 20 "Srxn1"
"Srxn1_1.22" 21 "Simu1" 0.35 0.35 0.100014696876015 0.175712281970526 0.0405432993707142 0.0690299234899417 1.57245229892024 0.119716375037514 1.954125 1.92069975 1.991235 3.064015 3.0178755 3.114031 0.8950025 0.862712325 0.93164415 "Sul" 21 "Srxn1"
"Srxn1_1.23" 22 "Simu1" 0.35 0.35 0.0903886343155689 0.172861820442814 0.0330477039558769 0.0732169345317732 1.54297022177056 0.169794623784941 1.94621 1.91211875 1.98393075 3.03849 2.99282675 3.087772 0.9038705 0.8702079 0.9418097 "Sul" 22 "Srxn1"
