"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_1.1" 0 "Simu1" 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Sul" 0 "Srxn1"
"Srxn1_1.2" 1 "Simu1" 0.35 0 0.277513752327264 0.696117674666894 0 0.368883153995272 0.0130233938749732 0.0174396837438897 0.02318425 0.0211465925 0.025434245 0.02318425 0.0211465925 0.025434245 0.02318425 0.0211465925 0.025434245 "Sul" 1 "Srxn1"
"Srxn1_1.3" 2 "Simu1" 0.35 0 0.667322971855127 1.52004662549195 0.178105737103219 0.741150473527665 0.0111748207276045 0.0158633310284226 0.1136625 0.10730975 0.1326071 0.215103 0.204503 0.261528 0.0459964 0.0419590725 0.0504664425 "Sul" 2 "Srxn1"
"Srxn1_1.4" 3 "Simu1" 0.35 0 0.635928487047383 1.47135994420227 0.201099001498511 0.723707240796051 0.0172491948191775 0.0205212076915465 0.3739745 0.365869725 0.39288515 0.780541 0.7680805 0.82653935 0.1318405 0.12593695 0.138388 "Sul" 3 "Srxn1"
"Srxn1_1.5" 4 "Simu1" 0.35 0 0.611286512514231 1.44299865097215 0.175751913202579 0.720552604248916 0.0532507090225042 0.0143331206378936 0.6892315 0.679200975 0.7081462 1.482655 1.466589 1.52810125 0.246653 0.238969975 0.25520115 "Sul" 4 "Srxn1"
"Srxn1_1.6" 5 "Simu1" 0.35 0 0.563039760358056 1.3646388346738 0.132124339169895 0.694858095893556 0.191120588205877 0.0454209403981753 1.045875 1.03372975 1.0651015 2.29824 2.27785975 2.3438905 0.364623 0.3552238 0.37519405 "Sul" 5 "Srxn1"
"Srxn1_1.7" 6 "Simu1" 0.35 0 0.539668702331764 1.34558427351805 0.106435147501168 0.698599708784155 0.434106209572771 0.183011850575942 1.41587 1.40161925 1.43604075 3.16902 3.144119 3.21440075 0.466721 0.455591825 0.479363 "Sul" 6 "Srxn1"
"Srxn1_1.8" 7 "Simu1" 0.35 0 0.522772505864016 1.37988426156396 0.0587759523123539 0.74312614192577 0.836913074321392 0.27460488527844 1.80326 1.78671 1.8242605 4.108925 4.079718 4.15473 0.5579455 0.545040675 0.57254505 "Sul" 7 "Srxn1"
"Srxn1_1.9" 8 "Simu1" 0.35 0 0.510634200715166 1.3577051827829 0.068179371744413 0.733828915922412 1.05483803461228 0.346722951723281 2.204155 2.18530975 2.22623025 5.14273 5.1090995 5.1901315 0.615643 0.60134895 0.631789225 "Sul" 8 "Srxn1"
"Srxn1_1.10" 9 "Simu1" 0.35 0 0.200719905405887 0.277647616949604 0.145962378773042 0.0685848985757154 1.19222148172925 0.399118122860952 2.616175 2.5951895 2.63988025 6.21456 6.176509 6.2632305 0.682264 0.666628825 0.700066625 "Sul" 9 "Srxn1"
