"iter"	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"r.1."	"decay.1."	"r.1.1."	"decay.1.1."	"r.1.2."	"decay.1.2."	"r.1.3."	"decay.1.3."	"r.1.4."	"decay.1.4."	"LnPrior"	"LnData"	"LnPosterior"
4995029	0.0234053	0.0159866	0.0139897	1.00344	130452	107169	9.66545	3.06675	0.0425932	8.09463	0.149374	0.629276	0.293327	1.10911	0.125754	1.16666	0.102706	-13.44313	-12890.8	-12904.24
4995030	0.0234053	0.0159866	0.0139897	1.00344	130452	107169	9.85808	0.741818	0.0425932	9.32327	0.149374	0.638551	0.293333	1.10717	0.125754	1.16666	0.102706	-14.15332	-12887.39	-12901.54
4995031	0.0243507	0.0159731	0.0139897	1.00366	130452	107218	9.90198	0.741818	0.0425932	9.32327	0.149374	0.638551	0.293333	1.10717	0.125754	1.16666	0.102706	-15.72099	-12886.68	-12902.4
4995032	0.0243507	0.0158841	0.0141267	1.00352	130475	107146	9.90198	1.18916	0.0425932	9.32327	0.149374	0.639954	0.293698	1.0995	0.125754	1.16666	0.102706	-13.98603	-12889.17	-12903.15
4995033	0.0243507	0.0158841	0.0141267	1.00357	130366	107063	9.90198	2.98742	0.0425932	9.32327	0.149374	0.639954	0.293698	1.0995	0.124563	1.16666	0.102342	-14.81379	-12889.41	-12904.23
4995034	0.0243507	0.0160118	0.0141524	1.00343	130466	107063	9.91748	2.98742	0.108239	11.6365	0.148335	0.634227	0.292629	1.11834	0.124563	1.16666	0.102287	-15.49968	-12891.41	-12906.91
4995035	0.0243507	0.0161041	0.014239	1.00324	130466	107076	9.91748	5.56731	0.249288	11.2085	0.148335	0.640576	0.292629	1.1352	0.124563	1.1683	0.102287	-16.86378	-12892.32	-12909.19
4995036	0.023007	0.0160764	0.014239	1.00324	130466	107076	9.75546	5.56731	0.0401867	8.58578	0.148335	0.640576	0.292629	1.11949	0.124563	1.16758	0.102287	-14.72251	-12890.99	-12905.72
4995037	0.0239299	0.0162437	0.0141862	1.00324	130466	107205	9.45141	5.56731	0.0401867	10.1144	0.148335	0.640576	0.292629	1.11949	0.124425	1.16758	0.102287	-16.57092	-12893.16	-12909.73
4995038	0.0239299	0.0161903	0.0141862	1.00324	130466	107205	9.49011	3.01928	0.0401867	10.1144	0.148335	0.640576	0.292629	1.11659	0.124425	1.16152	0.10211	-14.50759	-12892.49	-12907
4995039	0.0239299	0.0161465	0.0141862	1.00316	130495	107211	9.34736	0.767172	0.0401867	10.1144	0.148335	0.643376	0.292629	1.11659	0.125503	1.16152	0.10211	-14.21743	-12895.73	-12909.95
4995040	0.0242325	0.0162203	0.0141862	1.00316	130495	107211	9.34736	0.767172	0.0401867	6.64582	0.148335	0.643376	0.292629	1.09717	0.125954	1.16152	0.10211	-11.2862	-12899.5	-12910.79
4995041	0.0242325	0.0162203	0.0141862	1.00326	130495	107068	9.65678	0.770086	0.0401867	6.64582	0.148335	0.651734	0.292629	1.09819	0.126172	1.16152	0.101641	-10.24881	-12904.04	-12914.29
4995042	0.0242325	0.016373	0.0141862	1.00326	130495	107037	9.79996	1.28713	0.0401867	7.20117	0.148335	0.651734	0.292629	1.09819	0.126172	1.16152	0.101641	-10.69613	-12901.12	-12911.81
4995043	0.0242325	0.016373	0.0141862	1.00322	130410	107037	9.88535	1.28713	0.0703305	7.20117	0.148335	0.651734	0.292629	1.09819	0.125524	1.19904	0.101641	-11.26034	-12898.06	-12909.32
4995044	0.0242325	0.016373	0.0141862	1.00319	130410	106978	9.88535	0.437002	0.0703305	7.20117	0.148335	0.649602	0.292629	1.09819	0.125524	1.16589	0.101658	-11.32324	-12897.26	-12908.58
4995045	0.0242325	0.016373	0.0141862	1.00319	130387	106978	9.75152	0.437002	0.0703305	9.49489	0.148335	0.649602	0.292629	1.09819	0.124728	1.16589	0.101658	-13.50999	-12895.25	-12908.76
4995046	0.0242325	0.016373	0.0141862	1.00319	130387	107026	9.75152	0.45701	0.0703305	9.49489	0.148335	0.649602	0.292629	1.08989	0.125188	1.14437	0.101691	-13.35459	-12896.27	-12909.62
4995047	0.0242325	0.016373	0.0141862	1.00312	130287	107050	9.75152	0.45701	0.0703305	9.49489	0.148292	0.649602	0.292086	1.08989	0.125123	1.14437	0.101662	-14.95399	-12895.87	-12910.82
4995048	0.0242325	0.0162474	0.0141862	1.00312	130425	107050	9.77988	0.45701	0.0703305	9.49489	0.148666	0.624251	0.292086	1.08989	0.124024	1.14437	0.101662	-12.76601	-12901.52	-12914.29
4995049	0.0242325	0.0163774	0.0141862	1.00312	130597	107031	9.77988	2.34443	0.0363589	9.49489	0.147772	0.631206	0.291271	1.10848	0.124024	1.14437	0.101662	-12.39607	-12900.32	-12912.72
4995050	0.0222026	0.0163774	0.0141862	1.00312	130597	106994	9.77988	3.50639	0.0363589	10.656	0.147772	0.631206	0.291271	1.10848	0.124024	1.15417	0.101662	-13.75386	-12898.11	-12911.86
