"","mean","sd","2.5%","97.5%","Rhat"
"ks_Srxn1",0.0233911881623675,0.00112428929311883,0.0213142,0.0256464,1.0087751166837
"kd_Srxn1",0.0160813465806839,0.000281574961937185,0.0155011525,0.0166277,1.01003711703998
"Ka_Srxn1",0.014048149060188,0.00045409407910885,0.0131905,0.0149693,1.04064871611573
"hill_Srxn1",1.00345571185763,0.000388514422690938,1.00268,1.00418,1.01514813590965
"Vmax_Srxn1",130451.583933213,99.5259121672734,130257,130654,1.00195250012039
"Km_Srxn1",107110.845680864,96.8979532747674,106925,107305,1.00210082980125
"hillact_Srxn1",9.90342041291742,0.0941251893294219,9.64608,9.99725925,1.00139270214841
"r.1.",2.10880071920116,1.35115967780049,0.138209225,5.092855,1.00140351526153
"decay.1.",0.211266067055679,0.185313052357799,0.0065907,0.6749637,1.00040555961499
"r_Sul",8.99831809138172,1.31513677504321,6.9818665,12.0790225,1.00071660997243
"decay_Sul",0.148638348630274,0.00106176212882636,0.146472,0.150677,1.02790791196389
"r_Andro",0.642960584283143,0.0149981320058898,0.6140738,0.673873,1.01044822388208
"decay_Andro",0.293320559588082,0.00222789634655181,0.288902,0.297718,1.02353851261052
"r_Eta",1.09385291791642,0.0181915222943698,1.05674,1.12842,1.01431764540923
"decay_Eta",0.125210539492102,0.00117492391615745,0.122942,0.127505,1.02933569639735
"r_CDDO",1.17704677464507,0.0226890657039823,1.13433075,1.223347,1.00450148143089
"decay_CDDO",0.10258750814837,0.000699758777602372,0.101189075,0.1039361,1.03568872255842
