"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Andro"	"decay_Andro"	"LnPrior"	"LnData"	"LnPosterior"
4995055	0.0239707	0.0162975	0.0141896	1.00348	130519	106984	9.99063	0.651891	0.290488	-13.21647	-12893.24	-12906.45
4995056	0.0234939	0.0162975	0.0141896	1.00348	130585	106984	9.99063	0.651891	0.293635	-13.9982	-12892.12	-12906.12
4995057	0.0234939	0.0161857	0.0141896	1.00352	130421	106984	9.99063	0.649374	0.293635	-14.48719	-12890.68	-12905.16
4995058	0.0234939	0.0161857	0.0141896	1.00322	130246	107079	9.99063	0.649374	0.293635	-14.75284	-12889.35	-12904.1
4995059	0.0243929	0.0161469	0.0141896	1.00322	130246	107079	9.99063	0.659427	0.293635	-15.27213	-12889.9	-12905.17
4995060	0.0243076	0.0161995	0.0141896	1.00322	130246	107003	9.99063	0.659427	0.293046	-15.2473	-12890.46	-12905.71
4995061	0.0243438	0.0161995	0.0141846	1.00323	130221	107212	9.77572	0.634257	0.293046	-17.65672	-12892.49	-12910.14
4995062	0.0243438	0.0159913	0.0141846	1.00326	130248	107207	9.92177	0.634257	0.293046	-17.00001	-12887.92	-12904.92
4995063	0.0243438	0.0159913	0.0141846	1.00334	130248	107207	9.84542	0.634257	0.293046	-18.49741	-12888	-12906.49
4995064	0.0243438	0.0159913	0.0141846	1.00334	130248	107193	9.94423	0.634257	0.293046	-18.81528	-12886.92	-12905.73
4995065	0.0243438	0.0159893	0.0141846	1.00335	130248	107123	9.94423	0.634257	0.293046	-19.96851	-12887.12	-12907.09
4995066	0.0242837	0.0160631	0.0141846	1.00335	130517	107109	9.94423	0.634257	0.293046	-16.8387	-12889.68	-12906.52
4995067	0.0242837	0.0160932	0.0141846	1.00336	130517	107109	9.94423	0.634956	0.293046	-15.59163	-12888.58	-12904.17
4995068	0.0242837	0.0161623	0.0141846	1.00349	130624	107109	9.92808	0.634956	0.293046	-15.20139	-12888.02	-12903.22
4995069	0.0242837	0.0161623	0.0140269	1.00349	130624	107100	9.90194	0.634956	0.293046	-12.63335	-12889.83	-12902.46
4995070	0.0242837	0.0161623	0.0140269	1.00348	130624	107127	9.90194	0.634956	0.293046	-12.7924	-12889.83	-12902.62
4995071	0.0242837	0.0161623	0.014111	1.00344	130448	107127	9.93399	0.658591	0.293046	-12.42899	-12889.46	-12901.89
4995072	0.0242837	0.0161623	0.014111	1.00344	130331	107074	9.93399	0.658591	0.293046	-14.8205	-12888.23	-12903.05
4995073	0.0227066	0.0161017	0.014111	1.00344	130331	107074	9.93399	0.661045	0.293002	-14.63149	-12888.97	-12903.6
4995074	0.0227066	0.016152	0.014111	1.00344	130331	107074	9.93399	0.661045	0.293019	-14.3928	-12888.57	-12902.97
4995075	0.0227066	0.0161423	0.014111	1.00344	130331	107137	9.93399	0.661045	0.292063	-13.92252	-12890.05	-12903.97
4995076	0.0230756	0.0160588	0.014111	1.00363	130567	107097	9.93399	0.661045	0.294093	-13.93752	-12887.83	-12901.77
4995077	0.0230756	0.0160588	0.013983	1.00363	130567	107186	9.97036	0.650916	0.294093	-14.7101	-12888.25	-12902.96
4995078	0.0230756	0.0160588	0.0140183	1.00363	130588	107129	9.97036	0.650916	0.294093	-12.4207	-12891.82	-12904.24
4995079	0.0230756	0.0161269	0.0140183	1.00372	130524	107137	9.97036	0.650916	0.294093	-12.89806	-12894.28	-12907.18
4995080	0.0244472	0.0161269	0.0140183	1.00372	130524	107144	9.97036	0.650916	0.294093	-12.84718	-12890.43	-12903.28
4995081	0.0244472	0.0160758	0.0140183	1.00372	130471	107038	9.97036	0.650916	0.294093	-12.32059	-12891.22	-12903.54
4995082	0.0244472	0.0160758	0.0138727	1.00372	130394	107043	9.97036	0.650916	0.294093	-12.8652	-12894.48	-12907.35
4995083	0.0218814	0.0159628	0.0138727	1.00372	130394	107043	9.9333	0.650916	0.294093	-13.87681	-12893.5	-12907.38
4995084	0.0225399	0.0159801	0.0139304	1.00374	130515	107043	9.93951	0.650916	0.294093	-14.75751	-12891.14	-12905.9
4995085	0.0225399	0.0159801	0.0140239	1.00374	130465	107043	9.93951	0.650916	0.294093	-14.70273	-12891.05	-12905.75
4995086	0.023015	0.0159801	0.0140239	1.00374	130465	107043	9.93951	0.650916	0.294093	-14.72281	-12887.4	-12902.12
4995087	0.0218491	0.0159801	0.0140239	1.00354	130397	106981	9.93951	0.650916	0.293758	-15.25343	-12888.6	-12903.86
4995088	0.0226323	0.0160719	0.0140239	1.00338	130397	107076	9.96503	0.650916	0.293758	-16.70618	-12886.93	-12903.64
4995089	0.0226323	0.0160527	0.0140239	1.00333	130397	107135	9.96503	0.650916	0.293758	-17.21325	-12885.21	-12902.42
4995090	0.0227546	0.0161475	0.0140239	1.00333	130397	107135	9.96503	0.650916	0.293758	-15.47251	-12886.23	-12901.7
4995091	0.0227546	0.0161475	0.0140239	1.00333	130397	107135	9.96503	0.647236	0.293758	-15.34394	-12886.32	-12901.67
4995092	0.0227546	0.0161487	0.0140239	1.00321	130397	107160	9.96503	0.647236	0.293758	-15.41845	-12886.39	-12901.81
4995093	0.0226931	0.0161487	0.0140239	1.00321	130453	107160	9.96503	0.647236	0.293758	-13.66578	-12887.34	-12901
4995094	0.0226931	0.0161487	0.0140101	1.00321	130402	107160	9.96503	0.647236	0.293758	-13.03314	-12888.04	-12901.07
4995095	0.0226931	0.0161487	0.0140101	1.00321	130518	107160	9.96503	0.65502	0.294225	-14.49224	-12887.32	-12901.81
4995096	0.0217719	0.0162057	0.0140101	1.00321	130518	107176	9.96503	0.65502	0.294225	-14.9611	-12889.16	-12904.12
4995097	0.0217719	0.0162057	0.0140101	1.00325	130419	107051	9.96503	0.65502	0.294796	-14.20614	-12892.16	-12906.36
4995098	0.0240185	0.0162933	0.0141117	1.00325	130519	107047	9.96503	0.65502	0.294796	-12.48064	-12889.16	-12901.65
4995099	0.0241345	0.0163447	0.0141117	1.00309	130519	107047	9.98947	0.65502	0.294796	-12.0119	-12890.1	-12902.11
4995100	0.0241345	0.0163403	0.0141117	1.00305	130405	107015	9.98947	0.65502	0.294796	-12.81411	-12889.77	-12902.58
4995101	0.0241345	0.0164185	0.0141117	1.00305	130511	107034	9.98947	0.65502	0.294796	-11.9937	-12892.14	-12904.14
4995102	0.0241345	0.0164803	0.0141117	1.003	130511	107114	9.98947	0.65502	0.294796	-12.28202	-12892.8	-12905.08
4995103	0.0238659	0.0164803	0.0141117	1.003	130511	107114	9.98947	0.65502	0.294796	-12.18655	-12892.12	-12904.31
4995104	0.0238659	0.0165118	0.0141117	1.003	130440	107161	9.95127	0.656673	0.294796	-12.93194	-12892.21	-12905.14
4995105	0.0238659	0.0164978	0.0141117	1.00301	130440	107161	9.87665	0.656106	0.294796	-12.74102	-12894.03	-12906.77
4995106	0.0238659	0.0164978	0.0141117	1.00282	130318	107161	9.96809	0.656106	0.294796	-14.95548	-12892.05	-12907.01
4995107	0.0237147	0.0165568	0.0141117	1.00282	130445	107161	9.91799	0.660178	0.294796	-12.22346	-12895.8	-12908.02
4995108	0.0237147	0.0165568	0.0141117	1.00301	130435	107167	9.98813	0.660178	0.294796	-14.87275	-12896.86	-12911.73
4995109	0.0271435	0.0165568	0.0141117	1.00304	130435	107200	9.98813	0.633522	0.294569	-13.35288	-12900.54	-12913.89
4995110	0.0271435	0.016443	0.0141117	1.00326	130542	107067	9.98813	0.655159	0.294569	-12.01974	-12901.11	-12913.13
4995111	0.0271435	0.016443	0.0141117	1.00325	130499	107067	9.90501	0.655159	0.292026	-12.10687	-12903.26	-12915.37
4995112	0.0271435	0.0164454	0.0141117	1.00321	130365	107067	9.90501	0.655159	0.292026	-12.69954	-12900.17	-12912.87
4995113	0.0240824	0.0163916	0.014303	1.00321	130365	107054	9.90501	0.643993	0.292026	-12.02793	-12892.38	-12904.41
4995114	0.0240824	0.0163916	0.014303	1.00321	130365	107017	9.92723	0.64819	0.292026	-12.02992	-12890.43	-12902.46
4995115	0.0240824	0.0163916	0.0142303	1.00321	130365	107098	9.92723	0.64819	0.292026	-13.52752	-12890.09	-12903.62
4995116	0.0237786	0.0163636	0.0142303	1.00304	130365	107144	9.92723	0.65027	0.292026	-13.06712	-12889.52	-12902.59
4995117	0.0239646	0.0163636	0.0140249	1.00331	130365	107126	9.95684	0.65027	0.292026	-14.10763	-12889.38	-12903.49
4995118	0.0239646	0.0163838	0.0140249	1.00331	130373	107126	9.98973	0.637918	0.292026	-13.97231	-12890.94	-12904.92
4995119	0.0239646	0.0163838	0.0140249	1.00334	130550	107138	9.98973	0.637918	0.292026	-13.459	-12887.64	-12901.09
4995120	0.023101	0.0163838	0.0139542	1.00334	130550	107138	9.98973	0.631413	0.292026	-13.46776	-12888.71	-12902.18
4995121	0.0226747	0.0164173	0.0139542	1.00334	130550	107170	9.95666	0.649235	0.292803	-12.99781	-12890.73	-12903.73
4995122	0.0227627	0.0164088	0.0139542	1.00334	130550	107128	9.95666	0.649235	0.292803	-12.49833	-12890.01	-12902.51
4995123	0.0226048	0.0164088	0.0139542	1.00334	130550	107054	9.99743	0.649235	0.293539	-12.45175	-12890.6	-12903.05
4995124	0.0226048	0.0162616	0.0139542	1.00334	130550	107130	9.98868	0.649235	0.293539	-12.90462	-12891.2	-12904.11
4995125	0.0226048	0.0162616	0.0139542	1.00334	130550	107157	9.98868	0.649235	0.293539	-14.1613	-12892.62	-12906.78
4995126	0.0226048	0.0162616	0.0137469	1.00322	130340	107128	9.98868	0.628168	0.293539	-13.67941	-12889.8	-12903.48
4995127	0.0226048	0.0162501	0.0137614	1.00322	130445	107278	9.98868	0.628168	0.293539	-16.50064	-12888.2	-12904.7
4995128	0.0226048	0.0162501	0.0137614	1.00322	130445	107375	9.98868	0.643137	0.293539	-18.06064	-12887.06	-12905.12
4995129	0.0226048	0.0161891	0.0137614	1.00322	130445	107375	9.98868	0.63911	0.293539	-18.06196	-12884.93	-12903
4995130	0.0226048	0.0161891	0.0137614	1.00322	130445	107375	9.98868	0.63911	0.293539	-18.85685	-12885.96	-12904.81
4995131	0.0226048	0.0161779	0.0137614	1.00322	130445	107375	9.98868	0.637874	0.293539	-18.41175	-12886.73	-12905.14
4995132	0.0226048	0.0161822	0.0137614	1.00322	130445	107375	9.9343	0.637874	0.293539	-19.22277	-12888.24	-12907.47
4995133	0.0226048	0.0162558	0.0137614	1.00322	130445	107375	9.9343	0.638373	0.293539	-19.39086	-12888.37	-12907.76
4995134	0.0232466	0.0162558	0.0137614	1.00315	130445	107375	9.9343	0.638373	0.293539	-16.66316	-12887.89	-12904.55
4995135	0.0232466	0.0162124	0.0137614	1.00327	130445	107350	9.9343	0.631487	0.293539	-16.43858	-12888.06	-12904.5
4995136	0.0232466	0.0162124	0.0137614	1.00314	130308	107326	9.87945	0.637106	0.293539	-17.8597	-12887.99	-12905.85
4995137	0.0232785	0.0162124	0.0137614	1.00314	130308	107326	9.87945	0.637106	0.293539	-17.86056	-12888.76	-12906.62
4995138	0.0232785	0.0162181	0.0137614	1.00314	130318	107257	9.87945	0.637106	0.293539	-15.94332	-12890.03	-12905.98
4995139	0.0232785	0.0162181	0.0138067	1.00298	130318	107277	9.87945	0.637106	0.293539	-15.72491	-12890.09	-12905.81
4995140	0.0232785	0.016347	0.0136498	1.00319	130307	107277	9.87945	0.635052	0.293539	-18.18127	-12890.5	-12908.68
4995141	0.0232785	0.0162902	0.0137425	1.00319	130307	107277	9.87945	0.635052	0.293539	-19.79498	-12888.87	-12908.67
4995142	0.0232785	0.0162902	0.0137425	1.00319	130487	107236	9.93765	0.635052	0.294807	-16.76006	-12887.98	-12904.74
4995143	0.0232785	0.0162902	0.0136579	1.00319	130547	107236	9.93765	0.635052	0.295936	-17.16696	-12888.81	-12905.97
4995144	0.0234658	0.0162902	0.0136579	1.00335	130547	107009	9.96928	0.635052	0.295936	-15.64078	-12891.44	-12907.08
4995145	0.0234658	0.0163256	0.0136579	1.00344	130320	107009	9.96928	0.635052	0.295936	-17.66431	-12888.2	-12905.87
4995146	0.0241554	0.0162108	0.0136579	1.00344	130320	107035	9.96928	0.626945	0.295936	-17.30982	-12888.47	-12905.78
4995147	0.0241554	0.0162108	0.0136579	1.00344	130320	107035	9.96928	0.63993	0.295577	-18.78017	-12887.19	-12905.97
4995148	0.0241554	0.0162005	0.0136579	1.00344	130393	107071	9.96928	0.654736	0.295577	-16.15753	-12889.3	-12905.46
4995149	0.0241554	0.0162005	0.0136579	1.00344	130478	107076	9.93784	0.654736	0.296122	-11.27122	-12896.03	-12907.3
4995150	0.022017	0.0160895	0.0136579	1.00338	130478	106988	9.91874	0.654736	0.296122	-13.52253	-12893.45	-12906.98
4995151	0.0214299	0.0160895	0.0136579	1.00363	130478	106988	9.89848	0.649415	0.296503	-14.27152	-12893.46	-12907.73
4995152	0.0229496	0.0160721	0.0136579	1.00363	130381	106908	9.89848	0.649415	0.296018	-16.62048	-12890.08	-12906.71
4995153	0.0229496	0.0160721	0.0136579	1.00363	130322	107032	9.89848	0.649415	0.297234	-18.14877	-12891.6	-12909.75
4995154	0.024934	0.0160721	0.0136579	1.00363	130322	107097	9.94078	0.649415	0.296701	-18.3473	-12890.98	-12909.33
4995155	0.0245735	0.0160532	0.0136362	1.00363	130486	107097	9.94078	0.649415	0.296701	-16.37794	-12891.35	-12907.72
4995156	0.0245735	0.0160796	0.0136362	1.0037	130486	107148	9.94078	0.649415	0.297626	-15.50847	-12891.87	-12907.38
4995157	0.0245735	0.0160796	0.0136362	1.00373	130511	107149	9.94078	0.649415	0.297626	-14.54451	-12892.02	-12906.57
4995158	0.0245735	0.0160796	0.0136362	1.00373	130588	107149	9.93535	0.649415	0.297626	-14.8871	-12891.99	-12906.88
4995159	0.0245735	0.0159496	0.0136362	1.00412	130588	106958	9.93535	0.640984	0.294764	-15.5019	-12890.97	-12906.47
4995160	0.0224647	0.0159496	0.0133688	1.00412	130501	106958	9.94089	0.634187	0.294764	-15.24338	-12894.3	-12909.54
4995161	0.0222276	0.0159211	0.0133688	1.00412	130501	106993	9.95185	0.634187	0.295793	-15.56203	-12892.55	-12908.11
4995162	0.0222276	0.0159211	0.0133688	1.00412	130501	106963	9.95185	0.634187	0.295793	-15.30664	-12889.88	-12905.19
4995163	0.0222276	0.0158768	0.0133688	1.00412	130501	106963	9.95185	0.634187	0.295238	-14.44304	-12889.84	-12904.29
4995164	0.0222276	0.0158768	0.0133688	1.00412	130429	106963	9.95185	0.621529	0.295238	-14.87714	-12889.33	-12904.21
4995165	0.0218967	0.0157581	0.0134878	1.00412	130429	106911	9.95185	0.621529	0.295238	-15.52784	-12889.66	-12905.19
4995166	0.0218967	0.0156851	0.0134878	1.00412	130429	107032	9.95185	0.621529	0.295238	-15.84027	-12889.33	-12905.17
4995167	0.0218967	0.0156851	0.0134878	1.00413	130373	107161	9.95185	0.621529	0.295238	-17.35367	-12889.37	-12906.72
4995168	0.0218967	0.0156238	0.0134878	1.00413	130373	107161	9.95185	0.621529	0.295238	-16.22237	-12888.76	-12904.98
4995169	0.0218967	0.0156238	0.0134878	1.00415	130373	107012	9.95185	0.636439	0.295238	-16.21581	-12890.69	-12906.91
4995170	0.0218967	0.0156238	0.0134878	1.00415	130373	107012	9.95185	0.636439	0.295238	-16.21705	-12890.99	-12907.2
4995171	0.0218967	0.0156299	0.0134878	1.00415	130373	107012	9.95185	0.636439	0.296162	-16.24028	-12894.11	-12910.35
4995172	0.0220688	0.0156438	0.0134878	1.00415	130373	107139	9.84112	0.636439	0.296162	-16.70834	-12893.17	-12909.88
4995173	0.022276	0.0156732	0.0134878	1.00414	130373	107114	9.82423	0.636439	0.296162	-16.40153	-12888.37	-12904.78
4995174	0.022276	0.0156732	0.0134878	1.00414	130359	107081	9.82423	0.636439	0.296162	-15.62645	-12888.82	-12904.45
4995175	0.0232443	0.0156985	0.0134878	1.00414	130420	107117	9.83596	0.636439	0.296162	-15.10469	-12888.91	-12904.01
4995176	0.0232443	0.0156985	0.0134878	1.00414	130287	107117	9.83596	0.636439	0.296162	-17.06194	-12888.83	-12905.89
4995177	0.0232443	0.0157335	0.0134878	1.00414	130287	107117	9.83596	0.636439	0.296162	-17.55701	-12888	-12905.56
4995178	0.0232443	0.0157335	0.0134878	1.00409	130378	107117	9.83596	0.639274	0.296162	-16.00195	-12888.81	-12904.82
4995179	0.0232443	0.0158291	0.0134878	1.00409	130378	107037	9.83596	0.651364	0.296162	-16.89506	-12888.67	-12905.57
4995180	0.0232443	0.0158114	0.013595	1.00389	130328	107037	9.83596	0.635541	0.296162	-17.83747	-12889.6	-12907.44
4995181	0.0221463	0.0158114	0.013595	1.00389	130328	107037	9.83596	0.634575	0.296162	-14.77543	-12891.77	-12906.55
4995182	0.0221463	0.0158114	0.013595	1.00381	130514	107037	9.77691	0.634575	0.296162	-15.87586	-12892.72	-12908.59
4995183	0.0221463	0.0158114	0.013595	1.00392	130514	107107	9.77691	0.634575	0.296162	-14.76226	-12891.8	-12906.57
4995184	0.0221463	0.0158114	0.013595	1.00392	130603	107107	9.77691	0.634575	0.294977	-15.40109	-12891.55	-12906.95
4995185	0.0221463	0.0158956	0.013595	1.00392	130603	107090	9.77691	0.634575	0.294977	-14.86203	-12895.99	-12910.85
4995186	0.0221463	0.0158956	0.013595	1.00392	130603	107073	9.77691	0.634575	0.294977	-15.55839	-12894.2	-12909.76
4995187	0.0220121	0.0159126	0.013595	1.00395	130591	106964	9.77691	0.634575	0.294977	-16.64778	-12890.18	-12906.83
4995188	0.0220121	0.0158781	0.013595	1.00406	130354	106964	9.64589	0.634575	0.294977	-17.28422	-12890.41	-12907.69
4995189	0.0220121	0.0157181	0.013595	1.00406	130354	106964	9.64589	0.634575	0.294977	-17.51406	-12889.15	-12906.66
4995190	0.0220121	0.0157181	0.013595	1.00406	130398	106961	9.74178	0.634575	0.294977	-16.62461	-12889.14	-12905.76
4995191	0.0220121	0.0157181	0.013595	1.00399	130470	106961	9.74178	0.634575	0.296591	-14.55166	-12893.24	-12907.79
4995192	0.0212088	0.0157181	0.013595	1.00402	130470	107098	9.74178	0.634575	0.296591	-14.66454	-12894.13	-12908.79
4995193	0.0211753	0.0155611	0.013595	1.00402	130470	107098	9.74178	0.637909	0.295809	-16.81888	-12890.88	-12907.7
4995194	0.0211753	0.0155611	0.013627	1.00402	130473	107098	9.96024	0.637909	0.295809	-16.97745	-12889.82	-12906.79
4995195	0.0211753	0.0155723	0.013627	1.00411	130473	107075	9.96024	0.637909	0.295809	-17.01627	-12887.45	-12904.47
4995196	0.0211753	0.0155723	0.013627	1.00411	130473	107171	9.96024	0.637909	0.295809	-18.61054	-12886.01	-12904.62
4995197	0.0211753	0.0155964	0.0136099	1.00411	130473	107171	9.95156	0.637909	0.295809	-18.22369	-12886.12	-12904.35
4995198	0.0222313	0.0155964	0.0136099	1.00411	130473	107086	9.95156	0.637909	0.295809	-16.49231	-12888.83	-12905.32
4995199	0.0212365	0.0155964	0.013579	1.00411	130473	107086	9.95156	0.637909	0.295809	-16.1554	-12887.33	-12903.49
4995200	0.0212365	0.0155964	0.013579	1.00417	130559	107086	9.949	0.637909	0.295809	-16.3426	-12888.12	-12904.46
4995201	0.0230186	0.015896	0.013579	1.00408	130472	107119	9.949	0.639254	0.295809	-14.0173	-12891.47	-12905.49
4995202	0.0230186	0.015896	0.0132973	1.00425	130480	107119	9.99233	0.639254	0.295809	-15.06548	-12888.89	-12903.96
4995203	0.0230186	0.0159732	0.0132973	1.00425	130480	107159	9.99233	0.641465	0.295809	-15.49231	-12891.04	-12906.53
4995204	0.0230186	0.0158342	0.0134759	1.00405	130480	107109	9.99233	0.641465	0.297202	-14.20394	-12889.34	-12903.54
4995205	0.0230186	0.0158783	0.0134759	1.00405	130509	107109	9.99233	0.641465	0.294895	-14.09887	-12889.06	-12903.16
4995206	0.0230186	0.0158783	0.0134759	1.00407	130498	107109	9.88283	0.619089	0.294895	-13.90999	-12888.45	-12902.36
4995207	0.0230186	0.0158988	0.0134759	1.00409	130498	107012	9.88283	0.619089	0.294895	-14.33303	-12888.89	-12903.22
4995208	0.0230186	0.0158786	0.0134759	1.00409	130481	107029	9.88283	0.619089	0.294895	-14.3601	-12888.05	-12902.41
4995209	0.0230186	0.0159033	0.0134091	1.00409	130481	107183	9.8887	0.619089	0.294895	-15.13708	-12890.4	-12905.54
