"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Eta"	"decay_Eta"	"LnPrior"	"LnData"	"LnPosterior"
4995032	0.0243507	0.0158841	0.0141267	1.00352	130475	107146	9.90198	1.0995	0.125754	-13.98603	-12889.17	-12903.15
4995033	0.0243507	0.0158841	0.0141267	1.00357	130366	107063	9.90198	1.0995	0.124563	-14.81379	-12889.41	-12904.23
4995034	0.0243507	0.0160118	0.0141524	1.00343	130466	107063	9.91748	1.11834	0.124563	-15.49968	-12891.41	-12906.91
4995035	0.0243507	0.0161041	0.014239	1.00324	130466	107076	9.91748	1.1352	0.124563	-16.86378	-12892.32	-12909.19
4995036	0.023007	0.0160764	0.014239	1.00324	130466	107076	9.75546	1.11949	0.124563	-14.72251	-12890.99	-12905.72
4995037	0.0239299	0.0162437	0.0141862	1.00324	130466	107205	9.45141	1.11949	0.124425	-16.57092	-12893.16	-12909.73
4995038	0.0239299	0.0161903	0.0141862	1.00324	130466	107205	9.49011	1.11659	0.124425	-14.50759	-12892.49	-12907
4995039	0.0239299	0.0161465	0.0141862	1.00316	130495	107211	9.34736	1.11659	0.125503	-14.21743	-12895.73	-12909.95
4995040	0.0242325	0.0162203	0.0141862	1.00316	130495	107211	9.34736	1.09717	0.125954	-11.2862	-12899.5	-12910.79
4995041	0.0242325	0.0162203	0.0141862	1.00326	130495	107068	9.65678	1.09819	0.126172	-10.24881	-12904.04	-12914.29
4995042	0.0242325	0.016373	0.0141862	1.00326	130495	107037	9.79996	1.09819	0.126172	-10.69613	-12901.12	-12911.81
4995043	0.0242325	0.016373	0.0141862	1.00322	130410	107037	9.88535	1.09819	0.125524	-11.26034	-12898.06	-12909.32
4995044	0.0242325	0.016373	0.0141862	1.00319	130410	106978	9.88535	1.09819	0.125524	-11.32324	-12897.26	-12908.58
4995045	0.0242325	0.016373	0.0141862	1.00319	130387	106978	9.75152	1.09819	0.124728	-13.50999	-12895.25	-12908.76
4995046	0.0242325	0.016373	0.0141862	1.00319	130387	107026	9.75152	1.08989	0.125188	-13.35459	-12896.27	-12909.62
4995047	0.0242325	0.016373	0.0141862	1.00312	130287	107050	9.75152	1.08989	0.125123	-14.95399	-12895.87	-12910.82
4995048	0.0242325	0.0162474	0.0141862	1.00312	130425	107050	9.77988	1.08989	0.124024	-12.76601	-12901.52	-12914.29
