"0.35_0.35" "0.75_0.75" "1.62_1.62" "3.5_3.5" "7.54_7.54" "16.25_16.25"
"1" 0 0 0 0 0 0
"2" 0 0 0 0 0 0
"3" 0 0 0 0.000891948066928522 0.0177032405289599 0
"4" 0 0.0478597013790835 0.100985335642631 0.210911670968991 0.281792602841843 0.223488611122218
"5" 0.198831018307838 0.55493954461193 0.758339838745594 1.13492253964125 1.57585780477701 1.37303336828062
"6" 0.548944151147309 1.3203472571108 1.80296442707341 2.75004305569225 3.58715817974868 3.40560696150891
"7" 0.837987693469037 1.94657577950335 2.92260731512214 4.44313397103478 6.00054362515536 5.84398360734611
"8" 1.05222881504344 2.40894494035216 3.67046977909764 5.71004770743558 7.7848081370839 7.94556122177917
"9" 1.19403243336822 2.72866877816988 4.29975095061531 6.99463386434456 9.36327203164851 10.3421666955573
"10" 1.18183151415651 2.97998678948954 4.79709974437804 7.86685703563138 10.6898512139717 12.3936532651815
"11" 1.20754280399176 3.08946897714104 5.04951250179141 8.4885663060719 11.9228209102752 14.4748719268711
"12" 1.17708341555098 3.18689185532919 5.41964057043339 8.95172013149057 12.9046669532741 16.1581935325802
"13" 1.13339512178643 3.09127497436995 5.51099336102839 9.19003467211471 13.3541201489521 17.9437577108838
"14" 1.12822752160658 3.0166684866692 5.5626800555232 9.84650606882256 14.6081835429193 19.636397475259
"15" 1.15371603421968 3.19135642109024 5.95528691449847 10.3041041584047 15.585858693 20.9272711600232
"16" 1.12110098451832 3.20042704251097 5.91450336190956 10.6441791331569 16.1694725389533 22.9095008393073
"17" 1.09530203942912 3.28404535473743 6.24763651443289 11.221288532823 17.2116714323141 24.7427383210964
"18" 1.07632772988187 3.40186320855186 6.59191232674144 11.6877192775441 17.6341200546028 25.4180145259523
"19" 1.12067403875481 3.4522334138816 6.59506842217626 11.9595142974646 18.6852443820535 26.3985755169706
"20" 1.19290605703572 3.50704818905163 7.00452614313421 12.3163380123237 20.3568351023069 27.1207018975647
"21" 1.24530126138719 3.61910407808894 7.14139407040886 12.6999528494879 21.1428528249075 28.1449208961011
"22" 1.24535231878203 3.47880043283433 7.0788494513009 12.8964571971631 21.1712959245918 28.7476627482697
"23" 1.15369937004636 3.31058679970775 6.80260876235551 13.3480889717952 22.0563846774245 30.0429892128997
"24" 1.21755130784049 3.21039658716919 6.57521821221876 13.0166684764035 22.3319202374849 30.7303897068546
"25" 1.5338476295696 3.42580376395852 6.90070537496911 13.8235458650895 23.4074612088273 35.5919275824627
"26" 1.31590962345784 3.0141931035486 6.48762305746675 13.3860893123965 23.4447957826651 36.1617014338201
"27" 1.23442153558256 2.80174176666805 6.28713188753487 13.3173782339345 23.9456063533774 36.6521227634694
"28" 1.17598234853987 2.7178105764597 5.94845949193498 13.1340108002513 23.929774125921 37.0101648023484
"29" 1.11531801577555 2.55643766811582 5.48145614538478 12.9506158138357 24.0214970583715 38.3067306646196
"30" 1.08422395185111 2.43940218019499 5.16216307250369 12.6381377181275 24.9931854705717 39.2545511254935
"31" 1.03860114227996 2.27674762083082 4.86592323941298 12.7119803970026 25.4827022868044 39.8224698628275
"32" 0.905199577749131 2.16120665619261 4.64052478894247 12.638399793223 25.5353934690285 40.9326187294702
"33" 1.04337267984121 1.98835424730379 4.44770354585245 11.9680929345361 24.6509141316549 42.2019191137332
"34" 0.899999880245056 1.80491167393028 4.18271469651829 11.7279471551058 24.3006446777065 41.7838720377399
"35" 0.889455747634445 1.59369130463758 3.89829457463389 11.1644205597405 24.112308387178 41.5433656895711
"36" 0.691625655610552 1.51686304018143 3.76506298968923 10.6266262121087 23.7375895071823 40.7565400103977
"37" 0.575738581303469 1.35147426254634 3.51965414143771 10.0520826028582 23.7136335296324 41.1465423341403
"38" 0.343911297697387 1.20659290056277 3.37807308382229 10.0631197372075 22.5450505622509 41.9790405631429
"39" 0.307829952523158 1.03093087745193 3.07214674089018 9.45809736318581 22.0195836328152 41.6305798200453
"40" 0.318741817371283 0.948572452315759 2.88296443000507 9.08734608238304 21.6624004321218 42.8341702569689
"41" 0.233832790705084 0.873235523994787 2.65724546652179 8.79568246895412 21.6945198654334 42.7972325729874
"42" 0.21459495840334 0.775464191010073 2.48227916838558 8.41363615948913 21.1997683429849 42.4676294876987
"43" 0.22978584876375 0.683945239331222 2.24102212798292 8.05486750227025 20.3487984163008 42.2060074381288
"44" 0.234464926773058 0.598872440178931 2.03015184682893 7.65464541311274 20.453659345705 42.949440410358
"45" 0.174254195320442 0.522618435188502 1.894246736047 7.48215616320348 20.4531856896747 42.623319036254
"46" 0.182591893195684 0.438556356307694 1.71790529367659 7.08862301223302 20.0359447456739 42.5953331780254
"47" 0.183886081138345 0.396785553787541 1.58140648883558 6.58410960916587 19.9760747886048 43.2859435717938
"48" 0.132973584710914 0.36314946378311 1.42760203279059 6.34049384229994 19.2308998396799 43.0316004991718
