# Time	[Fraction_X]	[Nrf2]	[Nrf2_modified]	[Nrf2_unmodified]	[Srxn1]	
0	0.001	0.00639856	6.39856e-06	0.00639216	0	
0.48	0.0439485	0.335533	0.0147462	0.320787	0.0130615	
0.96	0.615254	0.623705	0.383737	0.239968	0.116408	
1.44	0.799161	0.884233	0.706645	0.177588	0.174968	
1.92	0.749637	1.11491	0.835781	0.279133	0.246901	
2.4	0.697674	1.3152	0.917581	0.397619	0.349421	
2.88	0.649209	1.48703	0.965394	0.521636	0.485043	
3.36	0.604109	1.63341	0.986761	0.646653	0.65442	
3.84	0.562142	1.75753	0.98798	0.769546	0.857145	
4.32	0.523091	1.86233	0.974168	0.888162	1.09208	
4.8	0.486752	1.95047	0.949393	1.00107	1.35758	
5.28	0.452938	2.02424	0.916854	1.10738	1.65172	
5.76	0.421473	2.08565	0.879043	1.2066	1.97237	
6.24	0.392193	2.13641	0.837888	1.29853	2.31731	
6.72	0.364948	2.17803	0.794867	1.38316	2.68434	
7.2	0.339596	2.21177	0.751107	1.46066	3.07126	
7.68	0.316004	2.23874	0.707452	1.53129	3.47598	
8.16	0.294052	2.25989	0.664525	1.59537	3.89649	
8.64	0.273624	2.27603	0.622777	1.65325	4.33088	
9.12	0.254616	2.28786	0.582526	1.70534	4.77737	
9.6	0.236928	2.29599	0.543983	1.752	5.23431	
10.08	0.220469	2.30092	0.50728	1.79364	5.70015	
10.56	0.205153	2.3031	0.472487	1.83061	6.17347	
11.04	0.190901	2.30291	0.439628	1.86328	6.65297	
11.52	0.177639	2.30068	0.408691	1.89199	7.13744	
12	0.165299	2.29668	0.379638	1.91704	7.62577	
12.48	0.153816	2.29115	0.352415	1.93873	8.11696	
12.96	0.14313	2.28429	0.326951	1.95734	8.61009	
13.44	0.133187	2.27629	0.303172	1.97311	9.1043	
13.92	0.123935	2.26728	0.280994	1.98628	9.59883	
14.4	0.115325	2.25739	0.260334	1.99706	10.093	
14.88	0.107314	2.24674	0.241105	2.00563	10.5861	
15.36	0.0998586	2.23541	0.223225	2.01218	11.0776	
15.84	0.0929215	2.22348	0.206609	2.01687	11.567	
16.32	0.0864663	2.21103	0.19118	2.01985	12.0538	
16.8	0.0804596	2.1981	0.176859	2.02125	12.5375	
17.28	0.0748701	2.18476	0.163573	2.02119	13.0178	
17.76	0.069669	2.17103	0.151254	2.01978	13.4942	
18.24	0.0648291	2.15696	0.139834	2.01713	13.9664	
18.72	0.0603255	2.14258	0.129252	2.01333	14.4342	
