,mean,sd,2.50%,97.50%,Rhat
buildSrxn1Base.1.,0.021049965,4.90E-05,0.0210014,0.021181393,1.007226288
degradSrxn1.1.,0.030699869,0.000321989,0.03004533,0.031309685,1.008117546
Vmax_buildSrxn1.1.,89065.54354,1063.875665,87000.375,91141.94,1.061265431
Km.1.,92809.54443,878.9216402,91146.7,94423.1575,1.076884684
hill.1.,1.00023931,0.000234522,1.00001,1.00089,1.009224794
Vmax_buildSrxn1.1.1.,93008.3047,992.7424965,91057.7075,94997.1,1.07458487
Vmax_buildSrxn1.1.2.,58200.56118,709.9440158,56826.9,59610.7,1.063187
Vmax_buildSrxn1.1.3.,96694.2706,1108.440681,94512.9,98796.1,1.064915952
Vmax_buildSrxn1.1.4.,107934.9347,1124.915237,105824,110171,1.076927494
