"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Kact.1." "hill.1." "Vmax_buildSrxn1.1." "Km.1." "hill_act.1." "fraction_x.1." "fraction_x.1.1." "fraction_x.1.2." "fraction_x.1.3." "fraction_x.1.4." "LnPrior" "LnData" "LnPosterior"
"1" 0 0.0342069 0.0122742 0.0351491 9.0802 130038 107435 7.90766 0.286728 0.714438 0.795637 0.701609 0.259848 -12.07537 -245544.8 -245556.9
"2" 490001 0.0210632 0.0303955 0.0377974 1.00021 136656 99899.5 5.0366 0.197697 0.262805 0.561749 0.230739 0.140935 -52.03092 -11565.5 -11617.53
"3" 490002 0.0210165 0.0303955 0.0377974 1.00021 136656 99899.5 5.0366 0.197697 0.262201 0.561749 0.227826 0.141016 -52.03129 -11565.07 -11617.1
"4" 490003 0.0210165 0.0303955 0.0377974 1.00021 136843 99899.5 5.0366 0.197697 0.262201 0.561749 0.227826 0.141016 -53.19872 -11564.26 -11617.46
"5" 490004 0.0210165 0.0303955 0.0377974 1.00022 136843 99899.5 5.0366 0.463548 0.26184 0.561749 0.22833 0.141016 -54.09341 -11564.18 -11618.27
"6" 490005 0.0210165 0.0303955 0.0377974 1.00022 136843 99899.5 5.0366 0.447699 0.264853 0.561749 0.22833 0.141705 -54.01998 -11565.33 -11619.35
"7" 490006 0.0210165 0.0303955 0.0377974 1.00022 136939 99899.5 5.0366 0.416213 0.261127 0.564024 0.22833 0.141705 -54.50103 -11565.17 -11619.67
"8" 490007 0.0210165 0.0304217 0.0375143 1.00022 136939 99899.5 5.03307 0.45596 0.263194 0.564024 0.22833 0.140165 -54.67438 -11565.33 -11620.01
"9" 490008 0.0210165 0.0304217 0.0391029 1.00022 137042 99899.5 5.03307 0.140443 0.263883 0.564024 0.234957 0.143664 -54.38758 -11562.53 -11616.92
"10" 490009 0.0210165 0.0301426 0.0403668 1.00022 137042 100137 5.03307 0.149413 0.263883 0.564803 0.234957 0.145825 -52.70802 -11566.5 -11619.21
"11" 490010 0.0210165 0.0301426 0.0394812 1.00022 137248 100137 5.03307 0.238636 0.266788 0.564803 0.234957 0.145004 -54.25226 -11563.46 -11617.71
"12" 490011 0.0210165 0.0301426 0.0394812 1.00022 137407 100137 5.03307 0.12923 0.26435 0.564803 0.23077 0.145004 -55.11284 -11563.73 -11618.85
"13" 490012 0.0210165 0.0301413 0.0391871 1.00022 137479 100137 5.03307 0.280634 0.266687 0.564803 0.23077 0.145004 -55.94882 -11562.99 -11618.94
"14" 490013 0.0210104 0.0301413 0.0381281 1.00022 137199 100137 5.03307 0.0971963 0.266687 0.560745 0.234732 0.145004 -53.63589 -11566.62 -11620.26
"15" 490014 0.0210104 0.0299932 0.0381281 1.00022 137199 100137 5.03307 0.474641 0.264439 0.566484 0.241102 0.145004 -54.71909 -11570.6 -11625.32
"16" 490015 0.0210104 0.0302364 0.0381281 1.00022 137230 100137 5.03307 0.091343 0.264439 0.564725 0.241323 0.145019 -53.86311 -11568.07 -11621.93
"17" 490016 0.0210104 0.0302364 0.0381281 1.00025 137213 100137 5.03307 0.091343 0.266143 0.564725 0.240567 0.145019 -53.75005 -11568.82 -11622.57
"18" 490017 0.0210104 0.0302364 0.0383761 1.00025 137964 100327 5.06939 0.315516 0.267733 0.564725 0.240246 0.144776 -58.24013 -11564.88 -11623.12
"19" 490018 0.0210104 0.0302364 0.0383761 1.00009 137964 100781 5.06939 0.35795 0.267733 0.564725 0.240246 0.144001 -55.44232 -11569 -11624.44
"20" 490019 0.0210104 0.0302364 0.0383761 1.00006 137964 100781 5.05713 0.473457 0.264571 0.564725 0.240246 0.144001 -55.91288 -11566.85 -11622.76
"21" 490020 0.0210104 0.0302364 0.0383761 1.00006 138174 100781 5.05713 0.185597 0.266746 0.564725 0.239146 0.144001 -56.55671 -11565.6 -11622.15
"22" 490021 0.0210104 0.0302128 0.0383761 1.00006 138174 100781 5.05344 0.127035 0.266746 0.562448 0.232542 0.143338 -56.44276 -11565.16 -11621.61
"23" 490022 0.0210104 0.0302128 0.0383761 1.00006 138174 100883 5.05344 0.14732 0.266746 0.563284 0.232542 0.143218 -55.84459 -11565.19 -11621.03
"24" 490023 0.0210104 0.0302128 0.0383761 1.00006 138174 100883 5.05344 0.0880697 0.266483 0.563284 0.233257 0.145352 -55.75546 -11565.18 -11620.94
"25" 490024 0.0210104 0.0302128 0.0383761 1.00006 138057 100883 5.05344 0.0880697 0.263853 0.563284 0.235976 0.145352 -54.87176 -11565.95 -11620.82
"26" 490025 0.0210263 0.0302128 0.0383761 1.00006 138057 100883 5.04252 0.0880697 0.263658 0.563284 0.229681 0.145352 -54.87299 -11566.09 -11620.97
"27" 490026 0.0210263 0.0302128 0.0383761 1.00006 138057 100883 5.05467 0.0529018 0.261054 0.563284 0.229681 0.142573 -54.82365 -11568.33 -11623.16
"28" 490027 0.0211001 0.0303949 0.0383761 1.00006 138016 100893 5.08319 0.318285 0.261054 0.563284 0.23225 0.141184 -55.02116 -11566.32 -11621.34
"29" 490028 0.0210037 0.0303949 0.0392262 1.00006 137886 100936 5.09525 0.318285 0.261054 0.563284 0.23225 0.141184 -53.79779 -11567.33 -11621.13
"30" 490029 0.0213564 0.0303949 0.0392262 1.00006 138089 100936 5.09525 0.284775 0.261054 0.559591 0.23225 0.139657 -55.19708 -11570.91 -11626.1
"31" 490030 0.0213564 0.0303949 0.038312 1.00046 138089 100936 5.0361 0.274395 0.258814 0.559591 0.23225 0.139889 -55.1888 -11567.87 -11623.05
"32" 490031 0.0213564 0.0303825 0.0381321 1.00032 138089 101108 5.04053 0.336067 0.256115 0.559591 0.228847 0.138821 -54.34631 -11570.53 -11624.88
"33" 490032 0.0211353 0.0303825 0.0372175 1.00032 138089 101108 5.04053 0.339807 0.256115 0.559591 0.232516 0.138144 -54.35598 -11570.36 -11624.71
"34" 490033 0.0211353 0.0303825 0.0372175 1.00032 138120 101108 5.04053 0.00979303 0.255816 0.559591 0.232516 0.138144 -53.91312 -11570.82 -11624.73
"35" 490034 0.0211353 0.0303825 0.0372175 1.00032 138283 101196 5.04053 0.00650078 0.255816 0.559591 0.232516 0.138144 -54.64036 -11570.98 -11625.62
"36" 490035 0.0211672 0.0303825 0.0372175 1.00032 138056 101196 5.02692 0.00650078 0.255816 0.559591 0.230679 0.138144 -52.90701 -11570.02 -11622.93
"37" 490036 0.0214002 0.0303825 0.0372175 1.00032 138035 101196 5.02692 0.00650078 0.258957 0.559591 0.230679 0.13784 -52.75017 -11570.6 -11623.35
"38" 490037 0.0214002 0.0303825 0.0372175 1.00039 137960 101196 5.0832 0.029024 0.258957 0.559591 0.230679 0.138007 -52.18019 -11573.18 -11625.36
