"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Kact.1." "hill.1." "Vmax_buildSrxn1.1." "Km.1." "hill_act.1." "fraction_x.1." "fraction_x.1.1." "fraction_x.1.2." "fraction_x.1.3." "fraction_x.1.4." "LnPrior" "LnData" "LnPosterior"
"1" 0 0.0259455 0.0250182 0.0612488 2.02558 131023 105835 5.63621 0.201633 0.0990815 0.0845641 0.180703 0.0416344 -7.895664 -252179.6 -252187.5
"2" 490001 0.0210037 0.0309622 0.0358533 1.00034 135249 98881.2 5.00278 0.139219 0.253258 0.554291 0.225989 0.130379 -52.11848 -11568.58 -11620.7
"3" 490002 0.0210037 0.0309622 0.0358533 1.00034 134729 98901.1 5.00278 0.0113317 0.253258 0.553659 0.215781 0.13086 -49.45257 -11571.31 -11620.76
"4" 490003 0.0210037 0.0309696 0.0350261 1.00042 134729 98996.9 5.00278 0.00102317 0.250968 0.553659 0.215781 0.13086 -48.66404 -11572.71 -11621.37
"5" 490004 0.0210037 0.0309696 0.0350261 1.00042 134966 98996.9 5.00278 0.00102317 0.250968 0.553659 0.215781 0.13086 -49.68798 -11570.68 -11620.37
"6" 490005 0.0210037 0.0309696 0.0350261 1.00042 135303 98996.9 5.00278 0.0728611 0.250968 0.553659 0.213716 0.13086 -51.31874 -11571.11 -11622.43
"7" 490006 0.0210037 0.0309696 0.0351994 1.00078 135303 98996.9 5.00278 0.0458089 0.250968 0.553659 0.213716 0.127299 -51.28435 -11570.66 -11621.95
"8" 490007 0.0210037 0.0308961 0.0351994 1.00078 135308 98996.9 5.00278 0.0458089 0.250968 0.553659 0.213716 0.127299 -51.29992 -11570.61 -11621.91
"9" 490008 0.0210037 0.0308961 0.0351994 1.00078 135308 98738 5.00278 0.22158 0.250968 0.554497 0.213716 0.127368 -53.74703 -11571.25 -11624.99
"10" 490009 0.0210037 0.0308961 0.0351994 1.00078 135153 98738 5.00278 0.22158 0.250968 0.555191 0.213716 0.127368 -53.01462 -11570.6 -11623.61
"11" 490010 0.0210037 0.0308961 0.0350044 1.0009 135173 98738 5.00278 0.109938 0.250968 0.555191 0.213716 0.127368 -52.86962 -11569.79 -11622.66
"12" 490011 0.0211302 0.0308961 0.0350044 1.0009 135173 98738 5.00278 0.0843829 0.250968 0.550514 0.213716 0.127368 -52.81801 -11571.98 -11624.8
"13" 490012 0.0211302 0.0308961 0.0351316 1.0009 135171 98738 5.00278 0.240561 0.250968 0.550514 0.213716 0.127368 -53.14279 -11572.03 -11625.17
"14" 490013 0.0211302 0.0308961 0.0351316 1.00122 135606 98738 5.00278 0.0601578 0.250968 0.550514 0.213716 0.129059 -54.89509 -11569.14 -11624.03
"15" 490014 0.0211302 0.0308961 0.0351316 1.00122 135606 98767.2 5.00278 0.0633729 0.252408 0.550514 0.213716 0.129059 -54.65885 -11569.86 -11624.52
"16" 490015 0.0211302 0.0308961 0.0355594 1.00102 135606 98901.2 5.00278 0.0523057 0.252408 0.550514 0.213716 0.129059 -53.54826 -11570.74 -11624.29
"17" 490016 0.0211302 0.0308961 0.0358315 1.0008 134915 98901.2 5.00278 0.130785 0.249607 0.550514 0.221459 0.129059 -50.39254 -11573.21 -11623.6
"18" 490017 0.0212464 0.0308961 0.0358315 1.0008 135348 98901.2 5.00278 0.1148 0.253468 0.556067 0.221459 0.133478 -52.37176 -11571.19 -11623.56
"19" 490018 0.0214649 0.0306627 0.0358315 1.00084 135348 98901.2 5.00278 0.0331561 0.253468 0.556067 0.221459 0.133478 -52.22569 -11570.54 -11622.76
"20" 490019 0.021424 0.0308148 0.035473 1.00077 135477 98901.2 5.00278 0.186643 0.252522 0.556614 0.221459 0.130887 -53.1276 -11570.38 -11623.51
"21" 490020 0.021424 0.0308148 0.0361833 1.00077 135477 99139.8 5.00278 0.21665 0.252669 0.556614 0.221459 0.130887 -51.29264 -11572.19 -11623.48
"22" 490021 0.0211658 0.0305103 0.0361833 1.00077 135477 99139.8 5.00278 0.194068 0.252669 0.558793 0.221459 0.130887 -51.20082 -11571.12 -11622.32
