"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Kact.1." "hill.1." "Vmax_buildSrxn1.1." "Km.1." "hill_act.1." "fraction_x.1." "fraction_x.1.1." "fraction_x.1.2." "fraction_x.1.3." "fraction_x.1.4." "LnPrior" "LnData" "LnPosterior"
"36" 490035 0.0210159 0.0304466 0.0387546 1.00083 137285 98840.6 5.0127 0.130357 0.266032 0.568408 0.238483 0.144884 -64.115 -11557.75 -11621.86
"37" 490036 0.0210159 0.0304466 0.0387546 1.00083 137285 99135.4 5.00426 0.16918 0.266032 0.568408 0.230931 0.143573 -61.814 -11560.25 -11622.07
"38" 490037 0.0210159 0.0304466 0.0388466 1.00083 137285 98948.8 5.02336 0.16918 0.266032 0.568408 0.230931 0.143363 -63.29609 -11559.17 -11622.46
"39" 490038 0.0210159 0.0304466 0.0388466 1.00083 137285 98948.8 5.04484 0.00600333 0.265471 0.568408 0.230931 0.142299 -63.07899 -11560.71 -11623.79
"40" 490039 0.0210159 0.0304466 0.0393849 1.00083 136857 98827.9 5.04484 0.00600333 0.267013 0.568408 0.230931 0.142454 -61.26303 -11562.89 -11624.15
"41" 490040 0.0210159 0.0302647 0.0394217 1.00083 136857 98839.4 5.04484 0.0243188 0.267013 0.567664 0.230931 0.142454 -61.15351 -11562 -11623.16
"42" 490041 0.0210915 0.0302647 0.0394217 1.00083 136857 98839.4 5.04484 0.0530349 0.266445 0.567664 0.237151 0.14685 -61.18237 -11559.14 -11620.32
"43" 490042 0.0212731 0.0302647 0.039124 1.00065 136857 98839.4 5.04484 0.231729 0.266445 0.563405 0.237151 0.14685 -61.47028 -11560.21 -11621.68
"44" 490043 0.0213093 0.0302184 0.039124 1.00088 136857 98719.9 5.0569 0.0586584 0.266654 0.563405 0.237151 0.14685 -62.14677 -11559.76 -11621.9
"45" 490044 0.0212147 0.0302184 0.0400649 1.00088 136857 98719.9 5.06079 0.0586584 0.268148 0.563405 0.237151 0.14685 -62.15477 -11557.85 -11620.01
"46" 490045 0.0210569 0.0302184 0.0400649 1.00077 136520 98719.9 5.03957 0.223237 0.268148 0.563405 0.237151 0.14685 -60.36509 -11558.14 -11618.51
"47" 490046 0.0211355 0.0302184 0.0400649 1.00077 136520 98719.9 5.00501 0.358419 0.26582 0.563405 0.237151 0.14685 -60.77802 -11557.71 -11618.49
"48" 490047 0.0211355 0.0302476 0.0405674 1.00077 136598 98719.9 5.00175 0.299217 0.26582 0.563405 0.237151 0.14685 -61.06589 -11558.06 -11619.12
"49" 490048 0.0210416 0.0304415 0.0405674 1.00045 136598 98773.9 5.0277 0.436857 0.26582 0.563405 0.237151 0.14685 -61.13107 -11557.12 -11618.25
"50" 490049 0.0210416 0.0304415 0.0400204 1.00039 136144 98773.9 5.13587 0.420334 0.26582 0.563405 0.237151 0.14718 -58.35182 -11561.4 -11619.75
"51" 490050 0.0210416 0.0304415 0.0400204 1.00012 135772 98647.4 5.13934 0.420334 0.26582 0.564154 0.237151 0.14718 -57.37709 -11560.95 -11618.33
"52" 490051 0.0210416 0.0304415 0.0400204 1.00012 135772 98647.4 5.13934 0.35431 0.26582 0.564521 0.237151 0.14718 -57.12884 -11561.02 -11618.15
"53" 490052 0.0210416 0.0303341 0.0400204 1.00012 135772 98647.4 5.10813 0.291824 0.268263 0.564521 0.237151 0.14718 -56.92714 -11560.57 -11617.5
"54" 490053 0.0210416 0.0303341 0.0400204 1.00012 135806 98747 5.10813 0.411636 0.268263 0.564521 0.237151 0.14718 -56.68659 -11561.42 -11618.1
"55" 490054 0.0210162 0.0303341 0.0400204 1.00012 135725 98747 5.05766 0.411636 0.266907 0.564541 0.233795 0.14718 -56.29002 -11560.88 -11617.17
"56" 490055 0.0210053 0.0303176 0.0397835 1.00012 135661 98747 5.05766 0.455698 0.266907 0.564541 0.233795 0.14718 -56.13962 -11561.15 -11617.29
"57" 490056 0.0210053 0.0303263 0.0397835 1.00012 135661 98747 5.05766 0.455698 0.266907 0.564541 0.232988 0.14718 -56.14159 -11561.37 -11617.51
"58" 490057 0.0210053 0.0302266 0.0392344 1.00012 135564 98747 5.05766 0.123193 0.266907 0.564541 0.236373 0.14718 -54.6517 -11562.07 -11616.72
"59" 490058 0.0210053 0.0302266 0.0392344 1.00012 135564 98747 5.01126 0.123193 0.266907 0.564541 0.236373 0.14718 -54.6745 -11561.07 -11615.74
"60" 490059 0.0210032 0.0301841 0.0391302 1.00012 135311 98747 5.01126 0.196886 0.265414 0.564541 0.236373 0.14718 -53.55643 -11563.13 -11616.69
"61" 490060 0.0210364 0.0301841 0.0391302 1.00012 135652 98747 5.01126 0.325223 0.266655 0.564541 0.231588 0.14718 -55.59868 -11562.23 -11617.83
"62" 490061 0.0210364 0.0301841 0.0391302 1.00012 135563 98747 5.01203 0.325223 0.266655 0.564541 0.227058 0.150319 -55.14428 -11567.46 -11622.61
"63" 490062 0.0211034 0.0301841 0.0400332 1.00012 136070 98747 5.07859 0.325223 0.270875 0.564314 0.248078 0.150319 -57.79632 -11563.65 -11621.44
"64" 490063 0.0210479 0.0301841 0.0400332 1.00012 136070 98747 5.07859 0.366445 0.270875 0.56704 0.248078 0.150319 -57.93685 -11563.18 -11621.12
"65" 490064 0.0210479 0.0302345 0.0402812 1.00012 136070 98747 5.1159 0.366445 0.270875 0.56704 0.248078 0.150319 -57.92817 -11563.78 -11621.71
"66" 490065 0.0210479 0.0302345 0.0402812 1.00014 136501 98747 5.00889 0.295593 0.270875 0.56704 0.235233 0.150319 -60.24438 -11557.47 -11617.71
"67" 490066 0.0211339 0.0302345 0.0402812 1.00014 136692 99109.6 5.00889 0.404862 0.270875 0.56704 0.235233 0.148918 -58.83943 -11559.19 -11618.03
"68" 490067 0.0211825 0.0302345 0.0402812 1.00014 136649 99109.6 5.00889 0.451232 0.270875 0.56704 0.235233 0.148918 -58.75882 -11559.8 -11618.56
"69" 490068 0.0211825 0.0302345 0.0403938 1.00014 136649 99109.6 5.00889 0.451232 0.271757 0.56704 0.235233 0.148918 -58.75906 -11560.41 -11619.17
"70" 490069 0.0211522 0.0302345 0.0403938 1.00014 136649 99109.6 5.03771 0.470658 0.273137 0.564347 0.240598 0.148918 -58.82306 -11561.45 -11620.27
"71" 490070 0.0212314 0.0302345 0.0403938 1.00022 136649 99109.6 5.03771 0.654267 0.272488 0.568141 0.240598 0.148918 -59.7809 -11563.06 -11622.84
"72" 490071 0.0211058 0.0302345 0.0397856 1.00022 136649 98833.4 5.03771 0.654267 0.26924 0.568141 0.240598 0.148918 -62.01019 -11559.31 -11621.33
"73" 490072 0.0211058 0.0303018 0.0407211 1.00032 136649 98833.4 5.05922 0.523979 0.26924 0.568141 0.240598 0.152798 -61.29973 -11559.54 -11620.84
"74" 490073 0.0211058 0.0303121 0.0404185 1.00032 137100 99138.3 5.05922 0.4869 0.26924 0.567709 0.240598 0.152798 -61.54037 -11559.4 -11620.94
"75" 490074 0.0211058 0.0303121 0.0404185 1.00032 137298 99138.3 5.06848 0.537737 0.270515 0.567709 0.240598 0.151027 -63.10633 -11556.63 -11619.73
"76" 490075 0.0210583 0.0303121 0.0404185 1 137298 99138.3 5.06848 0.0774042 0.270515 0.567709 0.240598 0.151027 -61.7138 -11558.27 -11619.99
"77" 490076 0.0210583 0.0303121 0.0404185 1 137298 99138.3 5.02099 0.0783694 0.273121 0.567709 0.240598 0.151027 -61.74009 -11555.92 -11617.66
"78" 490077 0.0213531 0.0303121 0.0406148 1 137080 99138.3 5.03379 0.0283402 0.272251 0.567709 0.240598 0.151027 -60.22992 -11558.39 -11618.62
"79" 490078 0.0212601 0.0303121 0.0406148 1 137080 99138.3 5.03379 0.151046 0.272251 0.567709 0.240598 0.151027 -60.37672 -11557.65 -11618.02
"80" 490079 0.0210746 0.0303121 0.0406148 1 137080 99138.3 5.0357 0.104073 0.272251 0.569302 0.240598 0.151027 -60.31193 -11556.8 -11617.12
"81" 490080 0.0211519 0.0303121 0.0406148 1 137080 99138.3 5.04305 0.149595 0.272251 0.569302 0.240598 0.151027 -60.37435 -11557.55 -11617.92
"82" 490081 0.0211519 0.0303121 0.0406148 1 137080 99138.3 5.01759 0.110419 0.27228 0.5672 0.240598 0.148201 -60.32352 -11558.58 -11618.9
"83" 490082 0.0211519 0.0303121 0.0407017 1 137080 99429 5.01759 0.110419 0.272285 0.5672 0.240598 0.148867 -58.07185 -11559.62 -11617.69
"84" 490083 0.0211519 0.0303121 0.0407017 1 137310 99429 5.01759 0.0910963 0.272285 0.5672 0.240598 0.148867 -59.57708 -11558.07 -11617.65
"85" 490084 0.0210359 0.0303121 0.0409571 1 137310 99491.6 5.01759 0.0275813 0.273245 0.5672 0.240598 0.148867 -59.04781 -11558.76 -11617.8
"86" 490085 0.0210359 0.0303121 0.0409571 1 137310 99491.6 5.01759 0.0275813 0.270802 0.564543 0.240598 0.148867 -59.0397 -11557.47 -11616.51
"87" 490086 0.0210993 0.0303121 0.0409705 1 136905 99491.6 5.01759 0.0479462 0.266792 0.564543 0.240598 0.148867 -56.38345 -11559.96 -11616.34
"88" 490087 0.0210993 0.0303121 0.0409705 1 136905 99491.6 5.01759 0.148058 0.266792 0.564543 0.240598 0.148867 -56.51305 -11559.96 -11616.47
"89" 490088 0.0211341 0.0303121 0.0409705 1 137054 99606.3 5.01759 0.148058 0.267323 0.564543 0.240598 0.148867 -56.61906 -11560.02 -11616.64
"90" 490089 0.0210331 0.0303121 0.0406062 1 137054 99606.3 5.03579 0.162441 0.271085 0.564543 0.240598 0.148867 -56.63613 -11560.54 -11617.18
"91" 490090 0.0210331 0.0303121 0.0406062 1 137054 99606.3 5.05131 0.0798506 0.268683 0.56222 0.240598 0.148867 -56.50099 -11560.1 -11616.6
"92" 490091 0.0211856 0.0303121 0.0413479 1 137054 99606.3 5.06719 0.340207 0.269639 0.56222 0.231874 0.148867 -57.08088 -11566.08 -11623.16
"93" 490092 0.0211609 0.030129 0.0413479 1 136830 99606.3 5.01718 0.222754 0.269639 0.563326 0.235557 0.148867 -55.30436 -11564.27 -11619.57
"94" 490093 0.0210366 0.0302261 0.0413479 1 137067 99606.3 5.02116 0.222754 0.270427 0.563326 0.235557 0.149784 -56.84377 -11561.75 -11618.6
"95" 490094 0.0210366 0.0302044 0.0413479 1 137067 99606.3 5.11533 0.552193 0.269382 0.563326 0.235557 0.150858 -58.02987 -11562.83 -11620.86
"96" 490095 0.0210405 0.0302044 0.0415011 1 137067 99606.3 5.09595 0.455757 0.269382 0.564042 0.235557 0.150858 -57.58219 -11562.7 -11620.28
"97" 490096 0.0210405 0.0302044 0.0415011 1 136984 99606.3 5.06251 0.168134 0.26795 0.564042 0.235557 0.150777 -56.16541 -11562.9 -11619.07
"98" 490097 0.0210405 0.0302044 0.0415011 1 137260 99606.3 5.03186 0.195956 0.26787 0.5669 0.243789 0.152631 -58.06541 -11560.02 -11618.09
"99" 490098 0.0211481 0.0302044 0.0407061 1 137260 99773.2 5.03724 0.335267 0.26787 0.566038 0.233381 0.146944 -57.20671 -11563.69 -11620.9
"100" 490099 0.0212408 0.0302044 0.0405652 1 136803 99773.2 5.07511 0.485053 0.268181 0.566038 0.233381 0.146944 -54.80165 -11566.28 -11621.09
"101" 490100 0.0214092 0.0302044 0.0401931 1 136803 99773.2 5.03793 0.323589 0.267021 0.566038 0.233381 0.146944 -54.18285 -11565.74 -11619.92
"102" 490101 0.0214092 0.0302044 0.0401931 1 136803 99773.2 5.02156 0.513872 0.267021 0.566038 0.233381 0.146944 -54.95959 -11565.43 -11620.39
"103" 490102 0.021535 0.0302044 0.0401931 1 136803 99773.2 5.02156 0.617846 0.267021 0.566038 0.233381 0.146944 -55.50983 -11566.34 -11621.85
"104" 490103 0.0216555 0.0302044 0.0401931 1 136803 99793.3 5.02253 0.317424 0.267021 0.566346 0.233381 0.146944 -54.02181 -11567.53 -11621.55
"105" 490104 0.0216555 0.0302294 0.0401931 1 136911 99793.3 5.07489 0.421729 0.265325 0.567004 0.233381 0.145972 -55.06599 -11569.24 -11624.31
"106" 490105 0.0217547 0.0302294 0.0401931 1 136911 99793.3 5.02083 0.194678 0.264501 0.567004 0.233381 0.145972 -54.38742 -11569.6 -11623.98
"107" 490106 0.0217571 0.0302294 0.0401931 1 136323 99793.3 5.02083 0.331916 0.264501 0.567004 0.233381 0.142289 -51.17493 -11575.06 -11626.24
"108" 490107 0.0217571 0.0301085 0.0401931 1 136323 99793.3 5.00373 0.128601 0.264833 0.567004 0.233381 0.142289 -50.66757 -11574.92 -11625.59
"109" 490108 0.0215283 0.0300325 0.0401931 1 136260 99793.3 5.02135 0.142294 0.264833 0.55959 0.234839 0.145735 -50.29392 -11571.55 -11621.85
"110" 490109 0.0215441 0.0300325 0.0401931 1 136260 99793.3 5.04813 0.229701 0.262799 0.563851 0.244399 0.145735 -50.46881 -11573.37 -11623.84
