"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Conti_1_11" 0 0 0 0 0 0 0 0 0 1 1 "simulation1" 0 0
"Conti_1_12" 1 0.0208181256650988 0 1 0.0208181256650988 0 1 0.0208181256650988 0 1 1 "simulation1" 0.00094521179855576 0.00163715485901213
"Conti_1_13" 2 0.0410108798352633 0 2 0.0410108798352633 0 2 0.0410108798352633 0 1 1 "simulation1" 0 0
"Conti_1_14" 3 0.0605963988651711 0 3 0.0605963988651711 0 3 0.0605963988651711 0 1 1 "simulation1" 0 0
"Conti_1_15" 4 0.0795942026294409 0 4 0.0795942026294409 0 4 0.0795942026294409 0 1 1 "simulation1" 0 0
"Conti_1_16" 5 0.0980214964843565 0 5 0.0980214964843565 0 5 0.0980214964843565 0 1 1 "simulation1" 0.0187711948052851 0.0325126631215268
"Conti_1_17" 6 0.115895443730863 0 6 0.115895443730863 0 6 0.115895443730863 0 1 1 "simulation1" 0.123447968818721 0.086457450843005
"Conti_1_18" 7 0.133232660663031 0 7 0.133232660663031 0 7 0.133232660663031 0 1 1 "simulation1" 0.239949321100608 0.184452823216324
"Conti_1_19" 8 0.150049237256778 3.80777692506884e-05 8 0.150049237256778 1.26925897502295e-05 8 0.150049237256778 0 1 1 "simulation1" 0.28406179985972 0.180342681337585
"Conti_1_110" 9 0.166360812253017 0 9 0.166360812253017 0 9 0.166360812253017 0 1 1 "simulation1" 0.3595979862916 0.228215356773184
"Conti_1_111" 10 0.182182554048416 0 10 0.182182554048416 0 10 0.182182554048416 0 1 1 "simulation1" 0.413646697592654 0.303186333085455
"Conti_1_112" 11 0.197529172278372 0 11 0.197529172278372 0 11 0.197529172278372 0 1 1 "simulation1" 0.420663027192936 0.262974736545617
"Conti_1_113" 12 0.212414934285319 0 12 0.212414934285319 0 12 0.212414934285319 0 1 1 "simulation1" 0.44759002365878 0.299410859096708
"Conti_1_114" 13 0.226853679905284 0 13 0.226853679905284 0 13 0.226853679905284 0 1 1 "simulation1" 0.478164638774766 0.326848742732924
"Conti_1_115" 14 0.240858833141375 0 14 0.240858833141375 0 14 0.240858833141375 0 1 1 "simulation1" 0.524962596401084 0.373758039600529
"Conti_1_116" 15 0.254443414556589 0 15 0.254443414556589 0 15 0.254443414556589 0 1 1 "simulation1" 0.529898835249714 0.356840348188108
"Conti_1_117" 16 0.267620053822705 0 16 0.267620053822705 0 16 0.267620053822705 0 1 1 "simulation1" 0.520550032052438 0.32149513680343
"Conti_1_118" 17 0.280401001357235 0 17 0.280401001357235 0 17 0.280401001357235 0 1 1 "simulation1" 0.567268926839497 0.38683683116476
"Conti_1_119" 18 0.292798139700294 0 18 0.292798139700294 0 18 0.292798139700294 0 1 1 "simulation1" 0.595482726137408 0.435602042911206
"Conti_1_120" 19 0.304822994562022 0 19 0.304822994562022 0 19 0.304822994562022 0 1 1 "simulation1" 0.642968848127324 0.494781476355027
"Conti_1_121" 20 0.316486745537785 0 20 0.316486745537785 0 20 0.316486745537785 0 1 1 "simulation1" 0.678392794441832 0.551723784153597
"Conti_1_122" 21 0.327800236502037 0 21 0.327800236502037 0 21 0.327800236502037 0 1 1 "simulation1" 0.717739525435777 0.561659530850102
"Conti_1_123" 22 0.338773985689818 0 22 0.338773985689818 0 22 0.338773985689818 0 1 1 "simulation1" 0.725388700692793 0.579640812509282
"Conti_1_124" 23 0.349418195476527 0 23 0.349418195476527 0 23 0.349418195476527 0 1 1 "simulation1" 0.69778332989825 0.560905122635009
"Conti_1_125" 24 0.359742764296502 0 24 0.359742761869818 0 24 0.359742761866674 0 1 1 "simulation1" 0.675813963077061 0.561746896993409
"Conti_1_126" 25 0.369757588563882 0.0228378245073 25 0.369757284075601 0.0076126081691 25 0.369757283681161 0 1 1 "simulation1" 0.751362297207518 0.431954423830288
"Conti_1_127" 26 0.379471804021295 0 26 0.379471072438363 0 26 0.379471071490656 0 1 1 "simulation1" 0.660333266729488 0.438732927604925
"Conti_1_128" 27 0.388893573172521 0.00510170254194442 27 0.388893156814372 0.00170056751398147 27 0.388893156275013 0 1 1 "simulation1" 0.623550871872826 0.448736384208174
