"time"	"Nrf21"	"Nrf22"	"Nrf23"	"Nrf24"	"Nrf25"	"Nrf26"	"time"	"Srxn11"	"Srxn12"	"Srxn13"	"Srxn14"	"Srxn15"	"Srxn16"
1	0.0555198158886082	0.0743471090457677	0.102896739617648	0.0777021491078411	0.181127519228745	0.317544497735514	1	0.0555198158886082	0.0743471090457677	0.102896739617648	0.0777021491078411	0.181127519228745	0.317544497735514
2	0.315693838140049	0.450585670864325	0.747875930411026	0.843756813614745	1.03766135547027	1.15754792223202	2	0.315693838140049	0.450585670864325	0.747875930411026	0.843756813614745	1.03766135547027	1.15754792223202
3	0.325808136304405	0.534197443244587	0.909104661804075	1.13348180893696	1.31598156964536	1.47917996806132	3	0.325808136304405	0.534197443244587	0.909104661804075	1.13348180893696	1.31598156964536	1.47917996806132
4	0.295271315025202	0.538065737297214	0.957814113678337	1.3242033162992	1.66675038082709	2.01754334011397	4	0.295271315025202	0.538065737297214	0.957814113678337	1.3242033162992	1.66675038082709	2.01754334011397
5	0.253484881260063	0.475716420852403	0.937692057173333	1.38366067785683	1.82016594108308	2.48714084415174	5	0.253484881260063	0.475716420852403	0.937692057173333	1.38366067785683	1.82016594108308	2.48714084415174
6	0.21052194221182	0.399513976224617	0.838620121793011	1.37427021629018	1.78552815026308	2.71578277267368	6	0.21052194221182	0.399513976224617	0.838620121793011	1.37427021629018	1.78552815026308	2.71578277267368
7	0.168737256911325	0.35877873277008	0.751097813924107	1.28524936890707	1.70362291432845	2.65678125108458	7	0.168737256911325	0.35877873277008	0.751097813924107	1.28524936890707	1.70362291432845	2.65678125108458
8	0.166196749197506	0.318329740492437	0.679123484352349	1.21246922452391	1.66727492470587	2.53006990384602	8	0.166196749197506	0.318329740492437	0.679123484352349	1.21246922452391	1.66727492470587	2.53006990384602
9	0.211211414344395	0.343045433881324	0.699245310672325	1.23139124989544	1.75599478456322	2.64784036142754	9	0.211211414344395	0.343045433881324	0.699245310672325	1.23139124989544	1.75599478456322	2.64784036142754
10	0.139133077076595	0.311332963687369	0.643667560861191	1.18034034059087	1.65247068383212	2.5247125264676	10	0.139133077076595	0.311332963687369	0.643667560861191	1.18034034059087	1.65247068383212	2.5247125264676
11	0.160235113344923	0.275010777067494	0.5900933440742	1.08097891791081	1.52468953092229	2.34857839273537	11	0.160235113344923	0.275010777067494	0.5900933440742	1.08097891791081	1.52468953092229	2.34857839273537
12	0.14331752860093	0.279288106649056	0.564258804955353	1.03426631624094	1.48764934841598	2.22625981798233	12	0.14331752860093	0.279288106649056	0.564258804955353	1.03426631624094	1.48764934841598	2.22625981798233
13	0.132991020393312	0.245264043848785	0.495437785173908	0.948244857391241	1.39747251730485	2.14121039214023	13	0.132991020393312	0.245264043848785	0.495437785173908	0.948244857391241	1.39747251730485	2.14121039214023
14	0.130834404148981	0.222684808904702	0.440583578742688	0.886905460417075	1.30101718788641	2.04927613766421	14	0.130834404148981	0.222684808904702	0.440583578742688	0.886905460417075	1.30101718788641	2.04927613766421
15	0.122851431460479	0.201689295393068	0.384903985179581	0.808160365512155	1.23562520137175	1.95722563297254	15	0.122851431460479	0.201689295393068	0.384903985179581	0.808160365512155	1.23562520137175	1.95722563297254
16	0.112714110435306	0.191577461916476	0.359193998141808	0.765547527106899	1.13859384486923	1.90803050353851	16	0.112714110435306	0.191577461916476	0.359193998141808	0.765547527106899	1.13859384486923	1.90803050353851
17	0.109512156044405	0.186175313955827	0.346105848078913	0.741193361875304	1.08703372239717	1.81634590901746	17	0.109512156044405	0.186175313955827	0.346105848078913	0.741193361875304	1.08703372239717	1.81634590901746
18	0.112237443830729	0.172616100964027	0.326713494381885	0.699763928098381	1.04312648810403	1.7510696752414	18	0.112237443830729	0.172616100964027	0.326713494381885	0.699763928098381	1.04312648810403	1.7510696752414
19	0.106021859275669	0.169585404819606	0.309843106075594	0.62996307704776	1.02909964976913	1.67022314395321	19	0.106021859275669	0.169585404819606	0.309843106075594	0.62996307704776	1.02909964976913	1.67022314395321
20	0.102139703192183	0.165928768171316	0.290131431522014	0.621708197558626	1.00786909116763	1.64354671587426	20	0.102139703192183	0.165928768171316	0.290131431522014	0.621708197558626	1.00786909116763	1.64354671587426
21	0.100014696876015	0.162399790812802	0.274962918578355	0.568338356608494	0.938697531933416	1.61884703543953	21	0.100014696876015	0.162399790812802	0.274962918578355	0.568338356608494	0.938697531933416	1.61884703543953
22	0.0903886343155689	0.146064345216959	0.252383506650852	0.556901054835245	0.913936994766224	1.57456840090956	22	0.0903886343155689	0.146064345216959	0.252383506650852	0.556901054835245	0.913936994766224	1.57456840090956
23	0.0882949002047399	0.14877611396613	0.227310060246672	0.49845238100375	0.867852155942716	1.59932150355066	23	0.0882949002047399	0.14877611396613	0.227310060246672	0.49845238100375	0.867852155942716	1.59932150355066
24	0.0816501890579242	0.141741914712211	0.226536711931977	0.465348325103728	0.821482334724632	1.53374180614864	24	0.0816501890579242	0.141741914712211	0.226536711931977	0.465348325103728	0.821482334724632	1.53374180614864
