"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"1" 0 3.33114 0.138827 0.00167489 0.45413 3.55959 0.92552 2.13273 0.767239 2.41782 1.35652 0.274638 1.37735 3.23354 0.601366 1.78378 0.240746 0.0244686 0.0296162 0.0161044 1.0011 130450 107078 6.93459 1.70058 5.02783 4.30205 5.5387 0.234399 4.33869 2.78711 4.76004 3.09905 5.47525 -10.47278 -495825.3 -495835.7
"2" 20001 5.07802 0.0762437 3.46846 0.102183 1.81336 0.204873 0.001867 0.0721858 2.805 0.0710089 0.0319007 0.0862992 3.40615 0.124633 3.30679 0.125074 0.0226797 0.0157402 0.0136489 1.00377 130285 107256 9.99813 3.15248 0.275773 11.826 0.149637 0.643017 0.295158 1.0765 0.125751 1.15236 0.103301 -22.60307 -12883.81 -12906.41
"3" 20002 6.84584 0.0762437 2.89971 0.102183 0.938416 0.204873 0.001867 0.0721858 2.32106 0.069478 0.0319007 0.0853347 2.02884 0.124633 2.82518 0.125074 0.0210434 0.0157266 0.0135983 1.00377 130285 107256 9.99813 5.40533 0.0674565 11.826 0.149637 0.618806 0.295158 1.0765 0.125751 1.16061 0.103301 -23.26718 -12887.38 -12910.65
"4" 20003 5.56451 0.0759607 2.89971 0.102183 0.938416 0.204873 0.00138716 0.0721858 3.72721 0.069478 0.0348984 0.0853347 1.47281 0.124734 2.24155 0.125074 0.0224116 0.0157286 0.0135983 1.00377 130285 107256 9.93149 2.03544 0.0674565 11.826 0.149528 0.618806 0.296459 1.0765 0.125751 1.16061 0.103146 -21.76395 -12890.01 -12911.77
"5" 20004 3.93884 0.0759607 3.18863 0.102183 2.81061 0.205365 0.00126799 0.0721443 3.72721 0.0687305 0.0348984 0.0853347 1.47281 0.124734 0.62936 0.125074 0.0224116 0.0156743 0.0135983 1.00377 130244 107150 9.93149 0.70361 0.0674565 11.826 0.151072 0.615389 0.296051 1.07216 0.125603 1.16061 0.103146 -21.45241 -12892.47 -12913.93
"6" 20005 3.90143 0.0759607 1.62901 0.102183 4.82676 0.204809 0.00126799 0.0721443 2.8313 0.0681823 0.0307326 0.0861532 1.47281 0.124734 1.3442 0.125908 0.0224116 0.0156743 0.0134699 1.00377 130358 107150 9.93149 0.564199 0.0674565 11.709 0.151072 0.615389 0.295562 1.08648 0.125603 1.16061 0.103146 -18.92139 -12896.01 -12914.93
"7" 20006 3.65779 0.0759607 2.60409 0.102183 4.8498 0.205815 0.00126799 0.0721443 3.22635 0.0691771 0.0307326 0.0861532 1.5187 0.124734 1.34278 0.125908 0.0216495 0.0156743 0.013721 1.00358 130358 107112 9.93149 2.49734 0.0674565 10.1526 0.151072 0.621814 0.294722 1.08648 0.125949 1.16061 0.103146 -15.8606 -12893.54 -12909.4
"8" 20007 3.49398 0.0764946 3.94905 0.102183 4.08795 0.205815 0.00126799 0.0721443 2.46936 0.0690837 0.0307326 0.0861532 1.76096 0.124734 2.15003 0.125908 0.0216495 0.0156743 0.013721 1.00358 130358 107099 9.93149 2.49734 0.0674565 9.37155 0.151072 0.621814 0.294722 1.07382 0.125949 1.16061 0.103146 -15.14171 -12894.63 -12909.77
"9" 20008 3.36989 0.0764946 3.80479 0.102183 4.2401 0.205918 0.00182162 0.0721443 2.49792 0.0690837 0.0307326 0.0861532 1.76096 0.124734 0.973627 0.125908 0.0216495 0.0156743 0.013721 1.0038 130420 107099 9.93149 4.30046 0.0674565 8.95981 0.150157 0.621814 0.294722 1.07382 0.125949 1.1494 0.103146 -15.90623 -12889.8 -12905.71
"10" 20009 3.07147 0.0764946 2.99103 0.102183 2.77879 0.205918 0.00182162 0.0717005 2.88091 0.0690837 0.0316179 0.0861532 0.422688 0.124734 1.6441 0.125908 0.0216495 0.0157835 0.013721 1.0038 130420 107099 9.93149 4.30046 0.0674565 8.95981 0.150157 0.63054 0.294722 1.0716 0.125949 1.13327 0.103146 -15.90883 -12888.54 -12904.45
