"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"15" 20014 1.61227 0.0766116 1.05765 0.103693 3.04686 0.205575 0.00141365 0.0709057 3.10851 0.0690553 0.0302508 0.0844386 3.58797 0.124359 0.894088 0.125303 0.0224511 0.0161234 0.0143288 1.00316 130463 106910 9.98321 2.56115 0.11972 9.26532 0.14818 0.654426 0.292659 1.09795 0.124722 1.21456 0.10234 -13.35201 -12891.07 -12904.42
"16" 20015 0.893737 0.0766116 2.69109 0.103693 3.04686 0.20603 0.00141365 0.0709057 3.10851 0.0690553 0.0302508 0.0844386 5.92129 0.124359 1.59782 0.125387 0.0224511 0.0161234 0.0143288 1.00316 130463 106972 9.98321 1.59935 0.11972 9.28331 0.14818 0.654426 0.292659 1.10164 0.124722 1.21456 0.102283 -12.67754 -12889.69 -12902.36
"17" 20016 0.893737 0.0781159 3.50374 0.103693 3.45654 0.20603 0.00141365 0.0724309 4.54215 0.0711615 0.0302508 0.086331 6.33347 0.124359 0.494125 0.125387 0.0224511 0.0161234 0.0143288 1.00322 130463 106901 9.98321 3.23061 0.11972 9.28331 0.14818 0.654426 0.292659 1.10164 0.124763 1.19006 0.102283 -13.92901 -12889.34 -12903.27
"18" 20017 2.1426 0.074018 1.67551 0.103693 2.46956 0.205991 0.00203159 0.0724309 3.93798 0.0684503 0.0302508 0.0859265 3.435 0.124359 0.65278 0.125387 0.0224511 0.0161234 0.0142307 1.00322 130463 106901 9.98321 1.70028 0.11972 11.0071 0.14818 0.642779 0.292659 1.10164 0.124763 1.18948 0.102283 -15.16455 -12889.36 -12904.52
"19" 20018 2.1426 0.0767786 0.47332 0.103693 2.46956 0.206065 0.00203159 0.0724309 3.93798 0.0684503 0.0302508 0.0854853 3.435 0.124339 2.10508 0.125387 0.0224511 0.0161895 0.0142307 1.00322 130463 106901 9.98321 1.70028 0.11972 14.9721 0.14818 0.642779 0.292659 1.08812 0.124763 1.18948 0.102283 -20.13911 -12888.58 -12908.72
"20" 20019 1.98398 0.0767786 2.06974 0.103693 1.87319 0.205986 0.00115054 0.0724309 3.93798 0.0684503 0.0302508 0.0854853 3.435 0.124695 0.652137 0.125368 0.0224511 0.0161034 0.0142307 1.00322 130463 107106 9.98321 3.55394 0.11972 12.6966 0.14818 0.657544 0.292659 1.09096 0.123947 1.1515 0.102283 -16.35817 -12889.12 -12905.48
"21" 20020 1.56942 0.0767786 1.69607 0.103259 2.42119 0.206252 0.0013153 0.0724309 4.00431 0.0685143 0.0302508 0.0853293 1.68099 0.124695 0.652137 0.125368 0.0224511 0.0161644 0.0142307 1.00322 130463 107106 9.98321 2.90215 0.104163 13.2586 0.14818 0.657544 0.292659 1.09096 0.123947 1.1515 0.102283 -16.84927 -12888.36 -12905.21
"22" 20021 1.56942 0.0749581 1.97721 0.103259 1.77117 0.206252 0.0013153 0.072095 3.47703 0.0685143 0.0302508 0.0853293 1.68099 0.124695 0.652137 0.125368 0.0224511 0.0161644 0.0142307 1.00321 130463 107152 9.97556 1.91676 0.104163 13.2586 0.148165 0.657544 0.292913 1.09096 0.123947 1.15283 0.102283 -17.45209 -12887.92 -12905.37
"23" 20022 1.56942 0.0773497 1.38936 0.103259 1.71584 0.206252 0.0013153 0.072095 3.23258 0.0685143 0.0285241 0.0853293 1.68099 0.124423 0.881605 0.125368 0.0224511 0.0161973 0.0142307 1.00321 130463 107152 9.97556 0.955481 0.104163 13.9102 0.148165 0.657544 0.293348 1.09096 0.123947 1.15283 0.102283 -18.84269 -12888.31 -12907.16
"24" 20023 1.96157 0.0751229 1.38936 0.103259 1.54467 0.206252 0.00274029 0.072095 2.55467 0.0685143 0.0285241 0.0862176 2.97724 0.124423 1.67648 0.125368 0.0237553 0.0161973 0.0142307 1.00329 130463 107152 9.97556 0.955481 0.104163 10.4183 0.147859 0.657544 0.292474 1.09096 0.124541 1.15283 0.102195 -14.73855 -12887.12 -12901.86
