"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"1" 0 0.456815 0.0954874 2.93935 1.10967 2.50993 0.426291 4.13064 0.560102 1.3741 0.256418 2.14327 0.245782 0.938588 0.488976 3.85377 0.996971 0.0302227 0.0202971 0.0208556 1.00005 130322 107026 8.55519 0.203471 4.65025 1.19659 5.3978 0.649782 4.82101 5.46091 5.45568 3.43538 5.35069 -12.55022 -487784.2 -487796.8
"2" 20001 1.54915 0.076022 2.12704 0.0991499 4.11996 0.205614 0.0011486 0.0717737 2.39425 0.0693677 0.0319372 0.0863666 1.28624 0.124848 0.617945 0.125488 0.0211149 0.0160117 0.0137673 1.00342 130454 107067 9.86749 1.43301 0.14842 9.64717 0.149885 0.631031 0.292608 1.10086 0.126104 1.20396 0.103019 -13.79012 -12891.87 -12905.66
"3" 20002 1.54915 0.076022 2.27348 0.103927 5.78562 0.205614 0.00155169 0.0717737 0.223526 0.0693677 0.0319372 0.0863666 2.16489 0.124848 1.0212 0.125488 0.0211149 0.0160117 0.0137673 1.00342 130310 107067 9.91701 0.961685 0.14842 9.64717 0.149885 0.631031 0.292608 1.10086 0.126104 1.14921 0.103093 -15.83403 -12889.75 -12905.58
"4" 20003 3.19697 0.0753225 1.19338 0.103927 5.78562 0.205614 0.00118466 0.0712615 1.46322 0.0693677 0.0319372 0.0863666 0.906399 0.124543 1.0212 0.125488 0.0211149 0.0160787 0.0137221 1.00342 130491 107067 9.91701 5.03902 0.424259 9.64717 0.149147 0.631031 0.292608 1.10086 0.126104 1.14921 0.103093 -16.5967 -12890.78 -12907.38
"5" 20004 2.86646 0.0745382 1.19338 0.103927 3.74957 0.205614 0.00118466 0.0712615 1.15037 0.0710631 0.0289935 0.0863666 0.906399 0.124543 0.370349 0.125488 0.0211149 0.0162896 0.013676 1.00342 130491 107067 9.81715 2.60214 0.424259 9.64717 0.149147 0.631031 0.292608 1.10086 0.126104 1.14921 0.103093 -14.83429 -12892.53 -12907.36
"6" 20005 1.04415 0.0745382 2.30038 0.103927 3.74957 0.204756 0.00118466 0.0719688 2.09802 0.0710631 0.0289935 0.0863666 0.8684 0.124543 3.59797 0.125488 0.0224694 0.0162896 0.013676 1.00342 130491 107067 9.97914 2.60214 0.162791 9.64717 0.149147 0.631031 0.292608 1.10086 0.126104 1.14921 0.103093 -13.83814 -12887.92 -12901.76
"7" 20006 2.28541 0.0743461 2.4838 0.103927 3.38616 0.204756 0.00258794 0.0719688 1.05934 0.0710631 0.0289935 0.0863666 2.56667 0.124543 5.08704 0.125488 0.0224694 0.0162427 0.0136663 1.00342 130422 107067 9.97914 0.0229351 0.0416504 9.05472 0.149147 0.631031 0.292608 1.10086 0.126104 1.17689 0.103124 -13.51234 -12887.17 -12900.68
"8" 20007 2.7884 0.0743461 2.3262 0.103927 1.92674 0.204629 0.00258794 0.0721531 1.05934 0.0710631 0.0289935 0.0863666 2.33291 0.124726 3.97203 0.125594 0.0224694 0.0161944 0.0136663 1.00342 130422 107067 9.94714 1.10307 0.0416504 9.03357 0.149147 0.631031 0.292608 1.10086 0.126104 1.17689 0.103155 -13.19478 -12887.69 -12900.88
"9" 20008 2.7884 0.0742907 1.20359 0.103927 1.92674 0.205083 0.00200386 0.0721531 1.25701 0.0710631 0.0289935 0.0863666 1.18966 0.12451 4.64824 0.125594 0.0224694 0.0161944 0.0136663 1.00342 130422 107288 9.94714 1.10307 0.0416504 8.57797 0.149147 0.631031 0.292881 1.10086 0.126104 1.17162 0.103155 -16.01751 -12886.36 -12902.38
"10" 20009 2.10155 0.0742907 0.67242 0.100656 4.35228 0.204999 0.00304053 0.0721531 1.27905 0.0710631 0.0289935 0.0863666 1.18966 0.12451 4.64824 0.125081 0.0224694 0.0161381 0.0136663 1.00342 130422 107288 9.94714 0.457358 0.0416504 8.57797 0.149147 0.621681 0.293035 1.10086 0.126104 1.17516 0.103155 -16.11358 -12885.96 -12902.08
"11" 20010 2.06453 0.0766743 2.90287 0.100656 4.35228 0.204999 0.00304053 0.0721896 1.71871 0.0713094 0.0289935 0.0863666 2.55359 0.12451 2.44248 0.125081 0.0224694 0.0160417 0.0136663 1.00342 130422 107288 9.84316 0.457358 0.35389 8.57797 0.149147 0.627279 0.293035 1.05881 0.126104 1.17516 0.103155 -17.23398 -12888.13 -12905.37
"12" 20011 2.06453 0.0766743 2.90287 0.100656 1.81248 0.204999 0.00233827 0.0721896 1.71871 0.0684053 0.0289935 0.0863666 2.47647 0.12451 3.22369 0.125081 0.0218169 0.0160216 0.0136663 1.00342 130422 107288 9.79699 2.09547 0.2922 8.57797 0.149147 0.627279 0.293035 1.05312 0.126104 1.20217 0.103155 -16.92095 -12891.23 -12908.15
