"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"1" 0 0.456815 0.0954874 2.93935 1.10967 2.50993 0.426291 4.13064 0.560102 1.3741 0.256418 2.14327 0.245782 0.938588 0.488976 3.85377 0.996971 0.0224822 0.0106421 0.0193234 1.00026 130521 106958 5.6579 4.2567 2.86392 2.51579 1.23252 5.73714 0.957869 8.20387 1.31203 6.95012 3.81781 -19.57537 -453283.7 -453303.3
"2" 20001 1.54915 0.076022 2.12704 0.0991499 4.11996 0.205614 0.0011486 0.0717737 2.39425 0.0693677 0.0319372 0.0863666 1.28624 0.124848 0.617945 0.125488 0.0243998 0.0157468 0.0137732 1.00389 130260 107216 9.9821 3.00015 0.225058 9.13787 0.150189 0.644546 0.295748 1.05844 0.125792 1.139 0.103029 -20.36509 -12888.57 -12908.93
"3" 20002 1.54915 0.076022 2.27348 0.103927 5.78562 0.205614 0.00155169 0.0717737 0.223526 0.0693677 0.0319372 0.0863666 2.16489 0.124848 1.0212 0.125488 0.0243998 0.0156948 0.013799 1.00387 130260 107179 9.9821 3.00015 0.107445 9.13787 0.150521 0.631688 0.295748 1.07898 0.126422 1.19733 0.103259 -19.22593 -12888.15 -12907.38
"4" 20003 3.19697 0.0753225 1.19338 0.103927 5.78562 0.205614 0.00118466 0.0712615 1.46322 0.0693677 0.0319372 0.0863666 0.906399 0.124543 1.0212 0.125488 0.0238623 0.0156206 0.013799 1.00387 130260 106989 9.9821 2.45089 0.107445 11.3039 0.150521 0.629143 0.295748 1.07898 0.126502 1.17728 0.103259 -19.90854 -12889.29 -12909.19
"5" 20004 2.86646 0.0745382 1.19338 0.103927 3.74957 0.205614 0.00118466 0.0712615 1.15037 0.0710631 0.0289935 0.0863666 0.906399 0.124543 0.370349 0.125488 0.0238623 0.0156263 0.013799 1.00387 130260 107210 9.9821 2.11459 0.0531914 11.3039 0.150946 0.656274 0.295748 1.07898 0.126502 1.19439 0.103259 -21.21635 -12889.84 -12911.06
"6" 20005 1.04415 0.0745382 2.30038 0.103927 3.74957 0.204756 0.00118466 0.0719688 2.09802 0.0710631 0.0289935 0.0863666 0.8684 0.124543 3.59797 0.125488 0.0238623 0.0156263 0.013799 1.00387 130260 107210 9.9821 1.884 0.0531914 11.3039 0.150946 0.656274 0.295748 1.07898 0.126502 1.2193 0.103402 -21.24237 -12892.79 -12914.03
"7" 20006 2.28541 0.0743461 2.4838 0.103927 3.38616 0.204756 0.00258794 0.0719688 1.05934 0.0710631 0.0289935 0.0863666 2.56667 0.124543 5.08704 0.125488 0.0238623 0.0156722 0.013799 1.00387 130260 107210 9.9821 2.80505 0.0207644 11.3039 0.151093 0.656274 0.29667 1.07898 0.125883 1.18043 0.102883 -21.12807 -12890.99 -12912.12
"8" 20007 2.7884 0.0743461 2.3262 0.103927 1.92674 0.204629 0.00258794 0.0721531 1.05934 0.0710631 0.0289935 0.0863666 2.33291 0.124726 3.97203 0.125594 0.0238623 0.0156722 0.013799 1.00387 130260 107210 9.9821 3.12445 0.0207644 11.3039 0.149545 0.642797 0.294868 1.07898 0.125883 1.18043 0.102883 -21.19071 -12884.96 -12906.15
"9" 20008 2.7884 0.0742907 1.20359 0.103927 1.92674 0.205083 0.00200386 0.0721531 1.25701 0.0710631 0.0289935 0.0863666 1.18966 0.12451 4.64824 0.125594 0.0238623 0.0157016 0.013929 1.00387 130383 107210 9.9659 3.12445 0.0207644 11.2902 0.149804 0.642797 0.294868 1.07403 0.125883 1.18043 0.102883 -18.76612 -12885.01 -12903.78
"10" 20009 2.10155 0.0742907 0.67242 0.100656 4.35228 0.204999 0.00304053 0.0721531 1.27905 0.0710631 0.0289935 0.0863666 1.18966 0.12451 4.64824 0.125081 0.0238623 0.0157016 0.0141192 1.00387 130383 107045 9.96875 1.82882 0.0207644 11.2902 0.149653 0.642797 0.294868 1.07403 0.125883 1.16114 0.102902 -17.15116 -12889.4 -12906.55
"11" 20010 2.06453 0.0766743 2.90287 0.100656 4.35228 0.204999 0.00304053 0.0721896 1.71871 0.0713094 0.0289935 0.0863666 2.55359 0.12451 2.44248 0.125081 0.0228569 0.0156166 0.0139039 1.00387 130410 107045 9.96875 2.50969 0.057948 11.4037 0.149653 0.634783 0.294868 1.07403 0.125883 1.14698 0.103094 -17.02337 -12889.75 -12906.77
"12" 20011 2.06453 0.0766743 2.90287 0.100656 1.81248 0.204999 0.00233827 0.0721896 1.71871 0.0684053 0.0289935 0.0863666 2.47647 0.12451 3.22369 0.125081 0.0228569 0.0155988 0.0139039 1.0039 130410 106980 9.96875 2.01463 0.133282 12.5021 0.149653 0.634783 0.294868 1.09112 0.125883 1.14698 0.103094 -18.76067 -12890.7 -12909.46
"13" 20012 2.78181 0.0768579 2.90287 0.100656 0.948245 0.204999 0.00233827 0.0721896 1.92118 0.0684053 0.0289935 0.0858012 0.427156 0.12451 1.62093 0.125927 0.0228569 0.015683 0.0139039 1.00403 130467 107045 9.90885 2.39597 0.0410097 12.5021 0.149445 0.657171 0.294868 1.08569 0.125883 1.14698 0.103022 -18.23212 -12887.23 -12905.46
"14" 20013 2.50731 0.0763099 2.90287 0.101965 0.762723 0.204905 0.0017408 0.0721896 3.43485 0.0684053 0.0289935 0.0858012 2.67115 0.12451 3.88946 0.125927 0.0244014 0.0158459 0.0139039 1.00403 130531 107045 9.90885 2.0528 0.0410097 10.1563 0.149251 0.651133 0.294868 1.08569 0.125883 1.14698 0.103022 -15.77632 -12888.02 -12903.8
"15" 20014 1.65715 0.0763099 2.36344 0.101965 1.39366 0.204905 0.00181744 0.0719169 3.73618 0.0684053 0.0289935 0.0858012 1.08484 0.12451 2.16736 0.125519 0.0244014 0.0159296 0.0139473 1.00403 130531 107045 9.81475 2.0528 0.0410097 10.0536 0.149251 0.651133 0.294868 1.08569 0.125883 1.15262 0.103108 -15.61687 -12890.89 -12906.51
"16" 20015 0.598987 0.0746803 3.3566 0.101965 2.68272 0.206101 0.00181744 0.0717538 3.73618 0.0684053 0.0289935 0.0858012 1.84796 0.12451 0.379186 0.125519 0.0244014 0.0159296 0.0139473 1.00403 130531 107045 9.93058 2.0528 0.0410097 10.0536 0.149251 0.651133 0.293623 1.08569 0.125883 1.15262 0.103108 -15.69942 -12890.03 -12905.73
"17" 20016 1.04723 0.0746803 4.49873 0.101965 3.14381 0.206101 0.00237733 0.0717538 1.91831 0.0684053 0.0289935 0.0822479 0.595021 0.124655 0.693369 0.125364 0.0244014 0.0159572 0.0139473 1.00403 130531 107070 9.93058 2.0528 0.0410097 7.82851 0.148482 0.651133 0.293623 1.08834 0.125883 1.15976 0.103108 -14.05835 -12891.07 -12905.13
"18" 20017 1.4272 0.0746803 3.00762 0.101965 2.72259 0.205957 0.00237733 0.0717538 1.91831 0.0684053 0.0289935 0.0822479 3.96301 0.124598 0.693369 0.124846 0.0244014 0.0158838 0.0139473 1.00403 130531 107070 9.7194 2.33486 0.156917 12.1985 0.148482 0.633314 0.293623 1.08834 0.126028 1.17706 0.103108 -18.13519 -12891.19 -12909.32
"19" 20018 1.08692 0.0753893 4.25527 0.100019 2.52244 0.206028 0.00237733 0.0726336 1.91831 0.0684053 0.0289935 0.0826162 2.83374 0.124719 3.0819 0.124846 0.0244014 0.0158404 0.0139473 1.00403 130533 107070 9.7194 2.33486 0.0760995 12.1985 0.148973 0.64954 0.29498 1.08834 0.126028 1.17706 0.102661 -17.84982 -12889.08 -12906.93
"20" 20019 1.08692 0.0753893 2.68047 0.100019 2.07202 0.205107 0.00237733 0.0726576 2.5088 0.0684053 0.0289935 0.0826162 2.03871 0.124719 4.0195 0.124846 0.0241876 0.0158208 0.0139473 1.00403 130458 107017 9.7194 2.33486 0.166177 11.9151 0.148973 0.656688 0.29498 1.08834 0.126028 1.17706 0.102902 -17.95513 -12889.28 -12907.23
"21" 20020 0.930888 0.0753893 2.68047 0.102239 1.49253 0.204698 0.00237733 0.0726576 1.21178 0.0685012 0.0289935 0.0849202 0.636128 0.124719 4.0195 0.124846 0.0230672 0.0158208 0.0139473 1.00389 130458 107017 9.7194 2.33486 0.225552 11.7505 0.148973 0.659631 0.29498 1.12124 0.126028 1.14188 0.102366 -17.49642 -12894.03 -12911.53
"22" 20021 1.88765 0.0753893 2.68047 0.101307 1.49253 0.204698 0.00348864 0.0726576 0.214639 0.0692623 0.0289935 0.0849202 1.02961 0.124719 4.29423 0.124846 0.0230672 0.0158356 0.0139785 1.00381 130458 107116 9.71903 2.33486 0.225552 11.9307 0.148973 0.659631 0.29498 1.12124 0.126028 1.14188 0.103053 -17.72658 -12892.12 -12909.85
"23" 20022 1.88765 0.075755 0.871294 0.101307 1.41743 0.205499 0.00351462 0.0726576 0.918559 0.0692623 0.0289935 0.0849202 0.909496 0.124719 3.48458 0.124795 0.0230672 0.0158356 0.0139785 1.00381 130446 107105 9.71903 3.19005 0.225552 11.8142 0.149489 0.641236 0.293964 1.12124 0.126028 1.14188 0.103053 -17.65415 -12891.98 -12909.63
"24" 20023 2.33159 0.075755 1.28369 0.101307 1.41743 0.204688 0.00351462 0.0726576 0.918559 0.0692623 0.0312801 0.0849202 0.909496 0.124719 3.48458 0.124795 0.0230672 0.0158971 0.0139785 1.00381 130446 106924 9.76193 2.36849 0.588048 11.8142 0.149489 0.641236 0.293964 1.09943 0.124431 1.14188 0.102877 -19.63472 -12891.45 -12911.09
"25" 20024 1.76479 0.075755 1.28369 0.104964 1.90016 0.205218 0.00272572 0.0726576 2.39533 0.0698875 0.0312801 0.0849202 2.69789 0.124719 3.48458 0.124884 0.0230672 0.0158971 0.0139586 1.00381 130446 106924 9.97826 1.94971 0.584515 11.8142 0.149489 0.634601 0.293025 1.09188 0.124431 1.14188 0.102877 -19.82456 -12889.22 -12909.04
"26" 20025 1.76479 0.075755 3.87359 0.104964 2.57168 0.205382 0.00244911 0.0726576 0.402864 0.0698875 0.0312801 0.0849202 2.69789 0.124719 3.17272 0.124884 0.0230672 0.0159645 0.0139586 1.00381 130446 106907 9.99225 0.192642 0.206285 11.8142 0.149489 0.628468 0.292485 1.09188 0.125971 1.1453 0.103085 -19.03783 -12889.57 -12908.61
"27" 20026 2.09033 0.075755 2.00816 0.103659 2.57168 0.205382 0.00238431 0.0726576 0.402864 0.0696546 0.02699 0.0849202 5.37812 0.124719 3.17272 0.124884 0.0230469 0.0159645 0.0139586 1.00381 130446 106968 9.99225 2.61273 0.206285 7.72804 0.149304 0.628468 0.292485 1.0627 0.125585 1.14063 0.103085 -14.41249 -12891.93 -12906.34
"28" 20027 1.32242 0.0763753 1.07366 0.103659 2.57168 0.205382 0.00238431 0.072243 0.555382 0.0696546 0.02699 0.0836421 5.37812 0.124719 0.932794 0.124884 0.0230469 0.0159486 0.0139586 1.0037 130446 106968 9.97233 0.639657 0.336851 8.91635 0.149106 0.628468 0.293505 1.07203 0.124661 1.14063 0.103085 -15.20319 -12891.38 -12906.59
"29" 20028 1.32242 0.0776327 0.657482 0.103659 1.97445 0.206012 0.00238431 0.072243 0.437034 0.0696546 0.02699 0.0836421 3.44611 0.124719 0.932794 0.124884 0.0230469 0.0159486 0.0139189 1.0037 130446 107056 9.9682 1.83286 0.336851 9.82988 0.149106 0.628254 0.293505 1.07203 0.124661 1.14063 0.103085 -15.71588 -12889.67 -12905.39
"30" 20029 1.32242 0.0776327 0.657482 0.103659 3.36604 0.206012 0.00238431 0.072243 3.48602 0.0709391 0.02699 0.0836421 2.15841 0.124719 0.705876 0.125508 0.0225183 0.0159528 0.0139189 1.0037 130446 107056 9.9682 2.35438 0.336851 10.3531 0.149106 0.636958 0.293505 1.04731 0.124661 1.14063 0.103085 -16.2112 -12891.68 -12907.89
"31" 20030 1.32242 0.0776327 3.10643 0.101228 3.96139 0.206012 0.00238431 0.072243 3.48602 0.0709391 0.02699 0.0836421 0.869381 0.124719 4.27428 0.125508 0.0225183 0.0159528 0.0139189 1.0037 130446 107015 9.91146 2.35438 0.336851 10.3531 0.149106 0.632909 0.295002 1.04731 0.124577 1.14063 0.103085 -16.15584 -12895.07 -12911.22
"32" 20031 0.760786 0.0769884 3.77223 0.101228 2.3299 0.206668 0.00299883 0.072243 2.10337 0.0709391 0.02699 0.0836421 1.73123 0.124719 4.27428 0.125508 0.0225183 0.0159622 0.0138263 1.00379 130500 106952 9.88266 1.92024 0.336851 9.15445 0.149106 0.632909 0.295002 1.04613 0.124577 1.14945 0.103074 -15.45671 -12894.42 -12909.87
