"0.01_0.01" "0.02_0.02" "0.05_0.05" "0.1_0.1" "0.22_0.22" "0.46_0.46"
"1" 0 0 0 0.00501930798757098 0 0.00856962841463048
"2" 0 0 0 0.010987439820183 0.0100471083376886 0.0178142170229599
"3" 0 0.00385393083451806 0.0386135720866592 0.0863278285909388 0.122241007618343 0.129717372453942
"4" 0.0790064263315947 0.167930105999117 0.325688522282483 0.600663298949053 0.297260549487002 0.485314892567839
"5" 0.384583525654451 0.540024717226746 0.741875554596036 1.04936998200231 0.950523336778062 0.698399315255843
"6" 0.78629025174771 0.994061412350026 1.01718320310917 1.35094732956141 1.28871861693056 0.761883674982982
"7" 1.119548739004 1.29133581028403 1.3424175965349 1.7284824966401 1.5910860340438 1.00635516293631
"8" 1.45386765887852 1.40557641215283 1.70713893079624 2.05287996495262 1.86538698690397 1.18654280332552
"9" 1.6102550165956 1.52880914126465 2.05828223364658 2.51231081843395 1.9940295859048 1.40260002820272
"10" 1.77519858419384 1.68409722849986 2.15589440562123 2.62732903008328 2.32408802106099 1.70343473450965
"11" 1.93747781042471 1.74947510673886 2.20868846563702 2.84544557630912 2.22200582896889 1.69357365728482
"12" 1.99159069528989 1.67589056193186 2.3232979850319 2.62069064972767 2.14300849832955 1.51433663059717
"13" 2.03804667064041 1.85724334862378 2.52635710448885 2.92705298668708 2.28642491672209 1.76150060929858
"14" 2.13366552554365 2.06587655224878 2.59134177356635 3.03015279240597 2.3045795076607 1.3627531124156
"15" 2.39285817235087 2.15771517572649 2.44139319235624 3.21136881582286 2.41753836194059 1.66738193476043
"16" 2.38485640973957 2.45001417708761 2.58911628778546 3.16257607728201 2.78121461763979 1.73082795247349
"17" 2.53431162870098 2.72137105687648 2.58413789135474 3.8801115603064 2.99292117493442 1.84470807780167
"18" 2.77696734116307 3.08994737384495 2.77567582856124 3.52790387042677 3.15015151568688 2.01098048461201
"19" 3.08620479809544 3.25690385375385 2.99858442735802 3.94866399119594 3.45178153663227 2.0314577204632
"20" 3.16739527615026 3.5684069604295 3.11912968390203 4.36077353927047 3.76146153426734 2.43419785491708
"21" 3.32754469057004 3.76676053205007 3.46544520137455 4.45889949863269 3.83522818732409 2.79568589448944
"22" 3.52387217127472 3.94917106018517 3.48917971996161 4.59418937403382 4.02556487349297 2.78673346382924
"23" 3.62776661182846 4.32451760308724 3.72132186792719 4.75645265824835 3.88910230686665 3.37387193928686
"24" 3.86167077724864 4.36842982130004 3.85242124053654 5.15097828308236 4.25906618836988 3.63494508847154
"25" 3.31010066003876 3.48237249140243 2.4713560084199 3.75139138097148 3.19341641440021 2.63373008783158
"26" 2.97869481104007 3.22027720113928 2.5483348307042 3.92546245075258 3.21172227707608 2.62157765209268
"27" 3.24448206488203 3.50975137981472 2.55711982640491 3.63217903181121 3.1089599073156 2.539722450871
"28" 3.24207704241139 3.32632265052829 3.05529959837449 3.94738184997589 3.51344111034421 2.77118952629537
"29" 3.33189027213993 3.52907849937972 3.30729187612046 3.72733082729858 3.67691667113119 3.35679099589789
"30" 3.21523136600365 3.53880967540228 3.16577887680579 3.66034840261816 4.10983265970995 3.71555957073055
"31" 3.19827496762565 3.45972225524419 3.24140983092244 3.61451415866775 4.04264626304993 3.54348697400447
"32" 3.17337562585705 3.59198546662244 3.55063689626236 3.60834974120491 3.93919449527389 4.45516576963145
"33" 3.29539365412491 3.77353967846266 3.69434974099709 3.48289880588835 3.72204396512355 4.71299191193956
"34" 3.1785935494086 3.47940311234322 3.56646482809859 3.94309476206917 3.44548692454115 5.20751526310114
"35" 3.03703049661567 3.46655735959519 3.2933045074672 3.71403371067532 3.17927946288453 6.17234967595424
"36" 3.15335640401148 3.7208851130881 3.26702616916713 3.57251568854369 3.77777181516951 6.28173503142618
"37" 2.95451632130046 3.78446255604096 3.28792195467655 4.20418828492028 3.62357149705932 5.28158772650076
"38" 2.97893720924847 3.78007676030753 3.18915427159332 3.7559226593113 3.78900155216718 5.21093203765848
"39" 3.16743335174905 3.73936691403447 3.06063340393368 3.88679684436723 3.73261750532853 6.18056499535608
"40" 3.18781579086013 3.46458299946049 3.16532802585254 4.62009192962925 3.73375270479588 6.0718613559578
"41" 3.03252682765332 3.90696871747884 3.55211869954839 4.87094429908065 3.84785943629184 7.27904932818283
"42" 3.11268697790812 4.01722066510306 3.72059954956384 5.46941602478736 3.39071565171124 7.00590980868469
"43" 3.08652309419833 3.97291624356247 3.56710231735405 5.12307866035043 4.81937003026697 7.0817467377245
"44" 2.94311904788758 3.86005628468856 3.81682997048233 5.69648561617857 4.24577051182607 6.95774486461796
"45" 3.00223075771357 3.94351910651796 3.54380906956134 5.467993983497 4.10511246226706 7.47859024175719
"46" 3.01298233659949 3.89468758046482 3.89517393456635 5.92310434680092 4.66147088527925 7.99341992353416
"47" 2.9735185614321 4.08948758529308 4.03398272856758 6.07363049476748 4.99647332453863 7.73277584335803
"48" 2.89117204489438 3.89506339336253 3.96355093957843 6.12588601979843 5.34114707217461 8.98262970222096
