"1_0" "2.15_0" "4.64_0" "10_0" "21.54_0" "46.42_0" "0_1" "1_1" "2.15_1" "4.64_1" "10_1" "21.54_1" "46.42_1" "0_2.15" "1_2.15" "2.15_2.15" "4.64_2.15" "10_2.15" "21.54_2.15" "46.42_2.15" "0_4.64" "1_4.64" "2.15_4.64" "4.64_4.64" "10_4.64" "21.54_4.64" "46.42_4.64" "0_10" "1_10" "2.15_10" "4.64_10" "10_10" "21.54_10" "46.42_10" "0_21.54" "1_21.54" "2.15_21.54" "4.64_21.54" "10_21.54" "21.54_21.54" "46.42_21.54" "0_46.42" "1_46.42" "2.15_46.42" "4.64_46.42" "10_46.42" "21.54_46.42" "46.42_46.42"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0 0 0 0.0111474091176089 0.0382549164166179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00971943984626057 0 0 0 0 0 0 0.0127771468279274 0.017117999559379 0 0 0 0 0 0.0164921855984887 0.0382322887970319 0 0 0 0.0120199336926744 0.0317680611291066 0.0360151621004846 0.0294103644360354
"4" 0 0 0.00697426699977755 0.0735101747764642 0.17080517979083 0.389719712456416 0 0 0 0 0.0147659416567322 0.0800892109636797 0.134426830753398 0 0 0 0 0.0384212244903512 0.0811572754745227 0.199794808747213 0 0 0 0.0172181247337617 0.0400355532624527 0.123044697437186 0.166258663961883 0 0 0.0380647427962652 0.0496420140122795 0.0935802605995497 0.140673828440384 0.244278185693785 0 0 0 0.0501013423159045 0.106581927098663 0.194224790394976 0.310346816245698 0 0 0.0408792827708331 0.0526369126444797 0.116574625854741 0.201295010517901 0.331655246220352
"5" 0 0.0365677827180367 0.163177624309484 0.332487851700883 0.723541980213307 1.33147625876619 0 0 0.000691253979114709 0.0823516039185253 0.213249015756898 0.483168122467526 0.698060808509482 0 0 0.00293555931888573 0.0721055890990842 0.233090748671741 0.444734819962816 0.716729668028767 0 0.0086021293576522 0.0429556863887987 0.127819549233825 0.260013457010642 0.576310675333376 0.750356891019255 0 0 0.117003194806718 0.163601082041701 0.340963709070209 0.624076362604441 1.13794423693527 0.00866516928229771 0.0492777002186017 0.0894358957922072 0.242650860776183 0.462229449226881 0.662428189356836 1.18341652684646 0 0.0404799954320342 0.124124817987384 0.204194263859764 0.457096650502096 0.815634974143702 1.19559067297872
"6" 0.00268094339605915 0.120666551539252 0.369762211191805 0.801375773135217 1.60951353076273 2.62901246233829 0 0 0.0420094124869127 0.235659766159555 0.631767462023436 1.35514697157423 1.84570193744078 0 0.00241326819911364 0.0438394212912961 0.245643310930498 0.60824260056751 1.20706821375644 1.74317805330846 0 0.0212088705378176 0.115678343871136 0.348368668994975 0.677803216330358 1.55156884363799 1.87655162202297 0 0 0.211193531794974 0.314645791269357 0.802686393884641 1.50186493725817 2.50159219114403 0.0201000922848462 0.0727112755516671 0.175624085066531 0.527999954193465 1.04338174985732 1.44445871547002 2.4431751179605 0 0.0680776330722846 0.19814794115122 0.422774024080897 0.893800108536058 1.85857418188304 2.42480604744802
"7" 0.0837374042290286 0.190099995015387 0.575187456470873 1.35896383780213 2.59539620312261 4.09826102334477 0 0.0467386499734461 0.111873870889101 0.480372630863715 1.24541964505595 2.36179008999656 3.23464290991831 0 0.0224939070777741 0.0847514556388916 0.421833660151433 1.03912795759076 2.09680711210592 3.00698455595795 0 0.0503849649376826 0.18426823949451 0.654462313961708 1.21663374975566 2.61337603242292 3.20045905162686 0 0.0143237720907316 0.326416303108702 0.621809107689529 1.1924239944113 2.40219892309277 3.78207757529015 0.0182047455679046 0.124335819998253 0.298962368879011 0.826858993912707 1.63966496804805 2.23951546605757 3.8867706414823 0 0.103603553676358 0.291661801598759 0.700206136972865 1.32721257309843 2.81888391842877 3.74554562801471
"8" 0.0952923835163609 0.296026310840877 0.786964454325587 1.7687538346275 3.46407506772772 5.25881992853458 0 0.0414742688898194 0.15003951362913 0.646495080926316 1.70159176159361 3.08243397788332 4.34411099840287 0 0.049278874374774 0.110285587350648 0.567713675698488 1.46042537024855 2.85424071747002 4.30712923311685 0 0.0956951272192719 0.278086207363864 0.871684328699142 1.61379207953008 3.35235188888537 4.45452209451158 0 0.00791083701276346 0.333445306917825 0.813765175710839 1.64940259845635 3.10841154787408 4.90736044930471 0.018596454986735 0.158871159153215 0.402459273848951 1.07388629811473 2.00673123223935 2.90158416673687 4.98461866468662 0 0.127679732265874 0.33522207426099 0.962791427510532 1.70206346091089 3.70284638272623 5.07366180071146
"9" 0.152045097961191 0.357271914764362 0.924407312326679 2.21546557869615 4.23765291314033 6.18325670527498 0 0.124794491719023 0.216169512923275 0.797849546738288 2.00626810183347 3.7507524108939 5.49741067234877 0 0.0556704445681324 0.130293358618795 0.735665706942825 1.73177408267336 3.33548541061092 5.10703785852321 0 0.11138284271566 0.292956590943416 0.941804537131599 1.88528118576207 4.06373884418177 5.21301773538859 0 0.0257370595439819 0.385732108112285 0.906986145396947 1.84660500919577 3.89353710646412 5.79246507567457 0.0223943284331329 0.146553946504932 0.463061953198446 1.23869824620233 2.42145454337865 3.44751920283664 6.12142476856381 0 0.117935379969182 0.419304483466564 1.08554764631112 2.03830339428456 4.44157213055466 6.06462510990976
"10" 0.162282987486387 0.387535656127916 1.05409320556424 2.56231267756723 4.73375674676211 7.06724363775282 0 0.159855773786994 0.292696960845298 0.894435056093033 2.25164636493848 4.33393497083549 6.30476605140912 0 0.0926428992345666 0.198892810348453 0.785736626147362 1.90570277953476 3.76191927792565 6.07707110107437 0 0.127435504814346 0.342977716311228 0.993295651535203 2.05306021386717 4.56061134802347 6.1623606845569 0 0.0259476776870671 0.469787237284255 1.0149492935811 2.09891634371897 4.22309008153067 6.72320545592208 0.0110291143424265 0.156914347178949 0.45183667693351 1.29064807561347 2.57730345676457 3.94312723255953 7.31521548396604 0 0.117261267013946 0.424059916487431 1.22483638598048 2.23147093724276 4.80638126426408 6.77841717301566
"11" 0.132415439146261 0.399219137396584 1.08379476869118 2.73221489396967 5.05267455210575 7.74749769456914 0 0.119767091512865 0.301666372556078 0.898736784732232 2.4099096014471 4.68775512693544 6.87283216374516 0 0.0917053335750986 0.190855002420716 0.823856267717777 2.07526602093699 4.10394780208315 7.05794813247171 0 0.114866808077734 0.334659166283802 0.999925185231942 2.21248397575437 5.02650351953248 6.9780677788052 0 0.0226008940186896 0.445378470025708 1.02391140615574 2.25702130202129 4.58495814181864 7.60117876152858 0 0.157044584020323 0.472231607630947 1.26663767230592 2.70460511081961 4.50818128393185 8.04707007039055 0 0.123637341155858 0.435396018930607 1.18706317612195 2.25436315048564 5.21393796094293 7.68489103423952
"12" 0.132964169692665 0.481151581360614 1.12177543228615 2.91567957004837 5.68115188312073 8.84278701701796 0 0.144321799746778 0.318251019293103 0.96090740401409 2.58922409748983 4.94731418207433 7.66241526384942 0 0.0748107764085813 0.223299195931007 0.831815878922475 2.27650202109622 4.35276785192878 7.90559127543216 0 0.128699063716602 0.357085889233583 0.999555575261145 2.28894558210151 5.2547638646017 7.74915841337054 0 0.0399715535033137 0.517242042535973 1.0307355848048 2.41539780581545 4.85461828940453 8.24510418799629 0 0.18149559690952 0.458645247586718 1.29161131681229 2.78282734746219 4.73881959126735 8.59323195433213 0 0.121713576256486 0.446234030863927 1.2760838553651 2.29486656751293 5.52490471220447 8.08774915960788
"13" 0.0956401249522678 0.480546103944983 1.16552301884679 2.97253587949537 5.93564736621731 9.37754961089357 0 0.146403463881398 0.349268988952401 0.894728110541037 2.77233475434345 5.28473283117772 8.44963258832865 0 0.0994891566766118 0.234555503661578 0.840664658130632 2.30643718843215 4.79305781592434 8.42470750051502 0 0.0880557422659683 0.312180983796184 1.06191110478962 2.37192739239145 5.59590972143771 8.12177134941635 0 0.0270095901158408 0.493971747950464 1.07608052443192 2.51794474626188 5.21412221459989 8.65774510537738 0 0.166036645272103 0.463388835266983 1.3179824363432 2.73680472496434 4.93266330757507 9.1525779410435 0 0.117115479001224 0.474479033353464 1.34840860764073 2.47551694959 5.90722897015942 8.60629689846959
"14" 0.080753242043337 0.535654739321771 1.24636071107361 3.15397787089412 6.33442129540458 9.87839301423145 0 0.136403744964856 0.338720339751891 0.905576679676585 2.93935174271901 5.69314136284881 8.86038756401859 0 0.077397986654308 0.226970684998395 0.881106986997866 2.52062956461539 5.16502300923955 8.91500242352079 0 0.06194984852016 0.315264666876918 1.07416021501127 2.66080466149345 5.71914704533374 8.6038362737992 0 0.016348234747483 0.488369378622009 1.10966285087289 2.54103821021296 5.72883444571181 9.62273629188801 0.00271928127737953 0.184564553267014 0.434079667112736 1.33574527690434 2.96266640276325 5.25797399950985 9.79362378512042 0 0.132547155299245 0.484833595983265 1.29316452657766 2.64992034099124 6.28771176094176 9.12076459932186
