"1_1" "2.15_2.15" "4.64_4.64" "10_10" "21.54_21.54" "46.42_46.42"
"1" 0 0 0 0 0 0
"2" 0 0 0 0 0 0
"3" 0 0 0 0 0 0.0206115842203955
"4" 0 0 0 0.034377596969083 0.114183366416293 0.369690664805343
"5" 0 0 0.130974514327525 0.421398936006134 0.72238603477572 1.50986544814114
"6" 0.0489479233910631 0.0866538225872452 0.395412216520312 0.932940514676563 1.56053190006104 2.90151512378453
"7" 0.0744740637181514 0.166198126527297 0.614862724433579 1.39431997578367 2.37959839029095 4.29234381212117
"8" 0.0968853481493379 0.276756970208329 0.715530338016405 1.71848913774812 3.04024104668311 5.27164171255162
"9" 0.13847135632491 0.362017632609059 0.803096392334051 1.83192261975784 3.51897041103762 6.15598113562312
"10" 0.120595615135701 0.391317008303391 0.899918905276865 1.92788031781278 3.88956548128863 7.07317428177798
"11" 0.159447004048639 0.415526316536858 0.931583941863926 2.14693256906236 4.35833598888726 7.84900210017879
"12" 0.152861014807581 0.447774515042223 0.955989617251922 2.17168258334103 4.53253674780421 8.12037883875232
"13" 0.176180731262896 0.485229947206106 1.06864756438158 2.3177798155753 4.90038535415024 8.73789901818542
"14" 0.183464995738472 0.443518222846898 1.14012808637737 2.52852433865356 5.25349786590288 9.37378111736283
"15" 0.203222040556005 0.498194721884042 1.26509180560791 2.79060708087048 5.51171806563718 9.72644930565781
"16" 0.214422305630219 0.440415643147239 1.21726690293137 2.72120517970004 6.0033666629073 10.5744624812585
"17" 0.207069531073007 0.499294965109235 1.2765262575952 2.98263875346969 6.4549858025317 11.178075487202
"18" 0.189889885205611 0.568015857167067 1.24681887763598 3.02840973604473 6.68371182961744 11.6567456738403
"19" 0.186021405616021 0.541724078830669 1.36044988811034 3.22380521077685 7.19418811472139 11.9216318709994
"20" 0.198755585810365 0.652030739895304 1.48342627860309 3.30981790092059 7.39766876390639 12.433588164412
"21" 0.215530482194726 0.642598345451364 1.48858268116216 3.44172077603519 7.45792392104577 12.4107622544834
"22" 0.263345747764788 0.621332771621451 1.59746430204029 3.44842854632535 7.82684316180464 12.8808252279736
"23" 0.239378967097696 0.646210779040177 1.66960733528859 3.39352018933648 7.700401123493 13.3747238779472
"24" 0.219560904659231 0.636562285936454 1.64903077078412 3.62264275702551 7.76877589158882 13.415747566293
"25" 0.418164060198557 0.862265884756516 2.33840211350571 4.61290912602409 10.2837417940562 15.554266194828
"26" 0.335204640850615 0.72824965141541 2.31517584395501 4.39703632902643 10.2981417468383 15.610484943254
"27" 0.314400138544866 0.680482895541871 2.29268542070587 4.38222513302609 10.6046744800678 16.0415715893164
"28" 0.335113499127787 0.639380276464986 2.15845699464343 4.36155716181498 10.4365932951844 15.8228710955875
"29" 0.346060777149376 0.685415218243905 2.04846715007559 4.4255635080657 10.4618163956052 16.5041758391901
"30" 0.271336865631602 0.627443418317528 1.99784016974105 4.43752902946045 10.7797933013214 16.4833677929316
"31" 0.235416108959301 0.578526083915725 1.90432905703265 4.54951635891033 10.4802003310947 16.5450492961363
"32" 0.224222871136685 0.594348271856376 1.75584787605815 4.51861332303919 10.29614798647 17.1820188649152
"33" 0.203768404236636 0.595904730304606 1.64536045668359 4.40691244231379 10.183933790726 16.8968051027188
"34" 0.178149315255335 0.690285843070033 1.5759653692045 4.3846346209702 10.5682181598783 16.3418303806499
"35" 0.128016008604791 0.642429512947839 1.42380885409733 4.2492319576981 10.621550458558 16.6359711546174
"36" 0.12409966635675 0.567069733128726 1.32217400904161 4.08517752602849 10.6990311538289 16.4776447399727
"37" 0.117418940748807 0.508381263350612 1.17362837299761 3.82945829301396 10.6693756321433 16.3060406949354
"38" 0.111664829683138 0.46495830742857 1.07565397740401 3.73255092169477 10.6144415837608 16.0285770584951
"39" 0.0706868086899675 0.431373562635883 0.95005181583517 3.60782971548891 10.2826107427505 16.1110969224533
"40" 0.0764036944669961 0.299143627243897 0.858634190202154 3.278378349995 9.84998054672369 16.5881470170211
"41" 0.0538112664118918 0.276397063117613 0.792072481135987 3.0741178809469 9.66958522880453 16.3337212115269
"42" 0.0358221160203833 0.233328423006934 0.691949650465448 2.95372457482081 9.50748080577642 16.059885123534
"43" 0.0427412337395848 0.284724696490452 0.664080500030026 2.72276435914439 9.00437453130484 15.9407878729326
"44" 0 0.303779422864694 0.628793614467683 2.53139831834677 8.76776458778983 16.0983097908662
"45" 0 0.180047201615855 0.535972417690602 2.39153431794134 8.29071266595295 16.6371564737836
"46" 0 0.165745706432879 0.263250839626936 2.31738430284055 8.05230698702244 16.4155138417688
"47" 0 0.216231028022807 0.366661272024734 2.18515676632181 7.57886853630261 15.4793403413518
"48" 0 0.174930003411665 0.247624430227711 2.00874759412831 7.27289983184857 15.9100238539664
